"Search Terms","Hearings"
"Total Count","521"
"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"1","Congressional Hearings","CHRG-113shrg89804","CHRG-113shrg89804","Sbir/Sttr: Measuring the Effectiveness","https://www.govinfo.gov/app/details/CHRG-113shrg89804/CHRG-113shrg89804","https://www.govinfo.gov/content/pkg/CHRG-113shrg89804/pdf/CHRG-113shrg89804.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg89804/html/CHRG-113shrg89804.htm","","",""," BEFORE THE COMMITTEE ON SMALL BUSINESS AND ENTREPRENEURSHIP UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS FIRST SESSION DECEMBER 18, 2013 Printed for the Committee on Small Business and Entrepreneurship Available via the World Wide Web: http://www.fdsys.gov ______ U.S. GOVERNMENT PRINTING OFFICE 89-804 PDF WASHINGTON : 2014 For sale by...","","2013-12-18"
"2","Congressional Hearings","CHRG-113shrg25453","CHRG-113shrg25453","The Future of Long-Term Care Policy: Continuing the Conversation","https://www.govinfo.gov/app/details/CHRG-113shrg25453/CHRG-113shrg25453","https://www.govinfo.gov/content/pkg/CHRG-113shrg25453/pdf/CHRG-113shrg25453.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg25453/html/CHRG-113shrg25453.htm","","",""," HUNDRED THIRTEENTH CONGRESS FIRST SESSION WASHINGTON, DC DECEMBER 18, 2013 Serial No. 113-14 Printed for the use of the Special Committee on Aging [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.fdsys.gov U.S. GOVERNMENT PUBLISHING OFFICE 25-453 PDF WASHINGTON : 2017 For sale by the Superintendent of Documents,...","","2013-12-18"
"3","Congressional Hearings","CHRG-113shrg95838","CHRG-113shrg95838","What Information Do Data Brokers Have on Consumers, and How Do They Use IT?","https://www.govinfo.gov/app/details/CHRG-113shrg95838/CHRG-113shrg95838","https://www.govinfo.gov/content/pkg/CHRG-113shrg95838/pdf/CHRG-113shrg95838.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg95838/html/CHRG-113shrg95838.htm","","",""," UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS FIRST SESSION DECEMBER 18, 2013 Printed for the use of the Committee on Commerce, Science, and Transportation [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PUBLISHING OFFICE 95-838 PDF WASHINGTON: 2015 For sale by the Superintendent of Documents, U.S. Government Publishing ...","","2013-12-18"
"4","Congressional Hearings","CHRG-113shrg86779","CHRG-113shrg86779","Rebalance to Asia IV: Economic Engagement in the Asia-Pacific Region","https://www.govinfo.gov/app/details/CHRG-113shrg86779/CHRG-113shrg86779","https://www.govinfo.gov/content/pkg/CHRG-113shrg86779/pdf/CHRG-113shrg86779.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg86779/html/CHRG-113shrg86779.htm","","",""," OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS FIRST SESSION DECEMBER 18, 2013 Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.gpo.gov/fdsys/ U.S. GOVERNMENT PRINTING OFFICE 86-779 PDF WASHINGTON : 2014 For sale by the Superintendent of Documents, ...","","2013-12-18"
"5","Congressional Hearings","CHRG-113shrg88820","CHRG-113shrg88820","The Role of Social Security, Defined Benefits, and Private Retirement Accounts in the Face of the Retirement Crisis","https://www.govinfo.gov/app/details/CHRG-113shrg88820/CHRG-113shrg88820","https://www.govinfo.gov/content/pkg/CHRG-113shrg88820/pdf/CHRG-113shrg88820.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg88820/html/CHRG-113shrg88820.htm","","",""," SUBCOMMITTEE ON SOCIAL SECURITY, PENSIONS, AND FAMILY POLICY of the COMMITTEE ON FINANCE UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS FIRST SESSION DECEMBER 18, 2013 Printed for the use of the Committee on Finance U.S. GOVERNMENT PRINTING OFFICE 88-820 PDF WASHINGTON : 2013 For sale by the Superintendent of Documents, U.S. Government ...","","2013-12-18"
"6","Congressional Hearings","CHRG-113shrg96026","CHRG-113shrg96026","Hearing on the Nominations of Rhea Sun Suh to Be Assistant Secretary for Fish and Wildlife and Parks, U.S. Department of the Interior; Victoria Baecher Wassmer to Be Chief Financial Officer, U.S. Environmental Protection Agency (Epa); Roy K.J. Williams to Be Assistant Secretary of Commerce for Economic Development, U.S. Department of Commerce; and Thomas a Burke to Be Assistant Administrator for Research and Development, Epa","https://www.govinfo.gov/app/details/CHRG-113shrg96026/CHRG-113shrg96026","https://www.govinfo.gov/content/pkg/CHRG-113shrg96026/pdf/CHRG-113shrg96026.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg96026/html/CHRG-113shrg96026.htm","","","","; VICTORIA BAECHER WASSMER TO BE CHIEF FINANCIAL OFFICER, U.S. ENVIRONMENTAL PROTECTION AGENCY (EPA); ROY K.J. WILLIAMS TO BE ASSISTANT SECRETARY OF COMMERCE FOR ECONOMIC DEVELOPMENT, U.S. DEPARTMENT OF COMMERCE; AND THOMAS A. BURKE TO BE ASSISTANT ADMINISTRATOR FOR RESEARCH AND DEVELOPMENT, EPA HEARING BEFORE THE COMMITTEE ON ENVIRONMENT AND ...","","2013-12-17"
"7","Congressional Hearings","CHRG-113shrg86778","CHRG-113shrg86778","Responding to the Humanitarian, Security and Governance Crisis in the Central African Republic","https://www.govinfo.gov/app/details/CHRG-113shrg86778/CHRG-113shrg86778","https://www.govinfo.gov/content/pkg/CHRG-113shrg86778/pdf/CHRG-113shrg86778.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg86778/html/CHRG-113shrg86778.htm","","",""," AFFAIRS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS FIRST SESSION DECEMBER 17, 2013 Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.gpo.gov/fdsys/ U.S. GOVERNMENT PRINTING OFFICE 86-778 PDF WASHINGTON : 2014 For sale by the Superintendent of ...","","2013-12-17"
"8","Congressional Hearings","CHRG-113shrg86425","CHRG-113shrg86425","Schneider, Kornze, Kastner, and Williams Nominations","https://www.govinfo.gov/app/details/CHRG-113shrg86425/CHRG-113shrg86425","https://www.govinfo.gov/content/pkg/CHRG-113shrg86425/pdf/CHRG-113shrg86425.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg86425/html/CHRG-113shrg86425.htm","","",""," ONE HUNDRED THIRTEENTH CONGRESS FIRST SESSION TO CONSIDER THE NOMINATIONS OF MS. JANICE M. SCHNEIDER, ASSISTANT SECRETARY OF THE INTERIOR (LAND AND MINERALS MANAGEMENT), DEPARTMENT OF THE INTERIOR; MR. NEIL G. KORNZE, DIRECTOR OF THE BUREAU OF LAND MANAGEMENT, DEPARTMENT OF THE INTERIOR; DR. MARC A. KASTNER, DIRECTOR OF THE OFFICE OF SCIENCE, ...","","2013-12-17"
"9","Congressional Hearings","CHRG-113shrg94151","CHRG-113shrg94151","Protecting Small Businesses and Promoting Innovation by Limiting Patent Troll Abuse","https://www.govinfo.gov/app/details/CHRG-113shrg94151/CHRG-113shrg94151","https://www.govinfo.gov/content/pkg/CHRG-113shrg94151/pdf/CHRG-113shrg94151.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg94151/html/CHRG-113shrg94151.htm","","",""," STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS FIRST SESSION TUESDAY, DECEMBER 17, 2013 Serial No. J-113-43 Printed for the use of the Committee on the Judiciary [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] S. Hrg. 113-637 PROTECTING SMALL BUSINESSES AND PROMOTING INNOVATION BY LIMITING PATENT TROLL ABUSE HEARING before the COMMITTEE ON THE ...","","2013-12-17"
"10","Congressional Hearings","CHRG-113shrg89563","CHRG-113shrg89563","The Federal Arbitration Act and Access to Justice: Will Recent Supreme Court Decisions Undermine the Rights of Consumers, Workers, and Small Businesses?","https://www.govinfo.gov/app/details/CHRG-113shrg89563/CHRG-113shrg89563","https://www.govinfo.gov/content/pkg/CHRG-113shrg89563/pdf/CHRG-113shrg89563.pdf","https://www.govinfo.gov/content/pkg/CHRG-113shrg89563/html/CHRG-113shrg89563.htm","","",""," SMALL BUSINESSES? HEARING before the COMMITTEE ON THE JUDICIARY UNITED STATES SENATE ONE HUNDRED THIRTEENTH CONGRESS FIRST SESSION DECEMBER 17, 2013 Serial No. J-113-44 Printed for the use of the Committee on the Judiciary U.S. GOVERNMENT PRINTING OFFICE 89-563 WASHINGTON : 2014 For sale by the Superintendent of Documents, U.S. Government ...","","2013-12-17"
