,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1
0,0,0,0,0,0,0,0,0,0,0,0,03/23/22,02:15PM,https://www.agriculture.senate.gov/business-meeting-3-22-2022,Business Meeting,"S-216, President's Room ",Agriculture,2022-04-05,[],[],[],,,,,
1,1,1,1,1,1,1,1,1,1,1,1,03/22/22,10:00AM,https://www.agriculture.senate.gov/hearings/rural-quality-of-life-opportunities-and-challenges-for-the-rural-care-economy,Rural Quality of Life: Opportunities and Challenges for the Rural Care Economy,562 Dirksen Senate Office Building ,Agriculture,2022-04-05,"['Xochitl Torres Small', 'Carrie Henning-Smith', 'Shoshanah Inwood', 'Joseph Carrica', 'Douglas Holtz-Eakin']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Torres%20Small_03.22.2022.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Henning-Smith_03.22.2022.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Inwood_03.22.2022.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Carrica_03.22.2022.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Holtz-Eakin_03.22.2022.pdf']","[('Xochitl Torres Small', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Torres%20Small_03.22.2022.pdf'), ('Carrie Henning-Smith', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Henning-Smith_03.22.2022.pdf'), ('Shoshanah Inwood', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Inwood_03.22.2022.pdf'), ('Joseph Carrica', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Carrica_03.22.2022.pdf'), ('Douglas Holtz-Eakin', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Holtz-Eakin_03.22.2022.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=89AEC540-5056-A066-6086-48672317E92F,,,,
2,2,2,2,2,2,2,2,2,2,2,2,03/02/22,10:00AM,https://www.agriculture.senate.gov/hearings/to-consider-the-following-nominations-the-honorable-christy-goldsmith-romero-ms-kristin-n-johnson-mrs-summer-kristine-mersinger-and-ms-caroline-d-pham,"To consider the following nominations: The Honorable Christy Goldsmith Romero, Ms. Kristin N. Johnson, Mrs. Summer Kristine Mersinger, and Ms. Caroline D. Pham",216 Hart Senate Office Building ,Agriculture,2022-04-05,"['Christy Goldsmith Romero', 'Kristin N. Johnson', 'Summer Kristine Mersinger', 'Caroline D. Pham']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Goldsmith%20Romero.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Johnson2.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Mersinger.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Pham.pdf']","[('Christy Goldsmith Romero', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Goldsmith%20Romero.pdf'), ('Kristin N. Johnson', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Johnson2.pdf'), ('Summer Kristine Mersinger', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Mersinger.pdf'), ('Caroline D. Pham', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Pham.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=56BD7026-5056-A066-6089-0B5A70B62AAC,,,,
3,3,3,3,3,3,3,3,3,3,3,3,02/09/22,10:00AM,https://www.agriculture.senate.gov/hearings/examining-digital-assets-risks-regulation-and-innovation,"Examining Digital Assets: Risks, Regulation, and Innovation",106 Dirksen Senate Office Building ,Agriculture,2022-04-05,"['Rostin Behnam', 'Sandra Ro', 'Samuel Bankman-Fried', 'Perianne Boring', 'Kevin Werbach']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Behnam_020920225.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Ro_020920225.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Bankman-Fried_0209202211.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Boring_0209202213.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Werbach_020920223.pdf']","[('Rostin Behnam', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Behnam_020920225.pdf'), ('Sandra Ro', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Ro_020920225.pdf'), ('Samuel Bankman-Fried', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Bankman-Fried_0209202211.pdf'), ('Perianne Boring', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Boring_0209202213.pdf'), ('Kevin Werbach', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Werbach_020920223.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=4C331AD3-5056-A066-60B0-BC9A8F57CB48,,,,
4,4,4,4,4,4,4,4,4,4,4,4,01/12/22,03:30PM,https://www.agriculture.senate.gov/hearings/business-meeting-12-9-2021,Business Meeting,"S-216, President's Room ",Agriculture,2022-04-05,[],[],[],,,,,
5,5,5,5,5,5,5,5,5,5,5,5,11/17/21,10:15AM,https://www.agriculture.senate.gov/hearings/to-consider-the-following-nominations-chavonda-j-jacobs-young-to-be-under-secretary-of-agriculture-for-research-education-and-economics-usda-and-margo-schlanger-to-be-an-assistant-secretary-of-agriculture-usda,"To consider the following nominations: Chavonda J. Jacobs-Young to be Under Secretary of Agriculture for Research, Education, and Economics, USDA and Margo Schlanger to be an Assistant Secretary of Agriculture, USDA",301 Russell Senate Office Building ,Agriculture,2022-04-05,"['Chavonda Jacobs-Young', 'Margo Schlanger']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Jacobs-Young2.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Schlanger.pdf']","[('Chavonda Jacobs-Young', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Jacobs-Young2.pdf'), ('Margo Schlanger', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Schlanger.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=7F84EB92-5056-A066-609F-C076EE59A5C0,,,,
6,6,6,6,6,6,6,6,6,6,6,6,11/04/21,11:00AM,https://www.agriculture.senate.gov/hearings/business-meeting-11-4-2021,Business Meeting,"S-216, President’s Room ",Agriculture,2022-04-05,[],[],[],,,,,
7,7,7,7,7,7,7,7,7,7,7,7,11/02/21,10:00AM,https://www.agriculture.senate.gov/hearings/the-state-of-nutrition-in-america-2021,The State of Nutrition in America 2021,216 Hart Senate Office Building ,Agriculture,2022-04-05,"['Dariush Mozaffarian', 'Angela Odoms-Young', 'Donald Warne', 'Patrick Stover', 'Angela Rachidi']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Mozaffarian_11.02.2021_UPDATED.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony%20of%20Angela%20Odoms-Young%2011221.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Warne_11.02.2021.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Stover_11.02.2021.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Rachidi_11.02.2021.pdf']","[('Dariush Mozaffarian', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Mozaffarian_11.02.2021_UPDATED.pdf'), ('Angela Odoms-Young', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony%20of%20Angela%20Odoms-Young%2011221.pdf'), ('Donald Warne', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Warne_11.02.2021.pdf'), ('Patrick Stover', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Stover_11.02.2021.pdf'), ('Angela Rachidi', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Rachidi_11.02.2021.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=7111DC3A-5056-A066-6055-2C19C6C45160,,,,
8,8,8,8,8,8,8,8,8,8,8,8,10/27/21,10:00AM,https://www.agriculture.senate.gov/hearings/to-consider-the-following-nomination-the-honorable-rostin-behnam-of-maryland-to-be-chairman-and-a-commissioner-of-the-commodity-futures-trading-commission,"To consider the following nomination: The Honorable Rostin Behnam, of Maryland, to be Chairman and a Commissioner of the Commodity Futures Trading Commission",216 Hart Senate Office Building ,Agriculture,2022-04-05,['Rostin Behnam'],['https://www.agriculture.senate.gov/imo/media/doc/RBehnam_SenateAg_Confirmation_OpeningStatement_10-27-21_Final3.pdf'],"[('Rostin Behnam', 'https://www.agriculture.senate.gov/imo/media/doc/RBehnam_SenateAg_Confirmation_OpeningStatement_10-27-21_Final3.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=F7DD1AC6-5056-A066-60BF-B980EF973EB1,,,,
9,9,9,9,9,9,9,9,9,9,9,9,09/23/21,10:00AM,https://www.agriculture.senate.gov/hearings/business-meeting-9.23.2021,Business Meeting,"S-216, President's Room ",Agriculture,2022-04-05,[],[],[],,,,,
