,Date,Time,URL,Title,Location,Committee,Date Scraped,video_url,witnesses,transcripts,witness_transcripts
0,03/29/23,01:30PM,https://www.appropriations.senate.gov//hearings/a-review-of-the-presidents-fy-2024-budget-request-for-the-department-of-homeland-security,Subcommittee Hearing:A Review of the President’s FY 2024 Budget Request for the Department of Homeland Security,Dirksen Senate Office Building 192,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=64C13B6B-9F73-B92B-7C34-9C917B652CF4,['Alejandro Mayorkas'],['https://www.appropriations.senate.gov/imo/media/doc/S1%20Testimony%20-%20SAC-HS%20FY24%20Budget%20Hearing%20-%20FINAL.pdf'],"[('Alejandro Mayorkas', 'https://www.appropriations.senate.gov/imo/media/doc/S1%20Testimony%20-%20SAC-HS%20FY24%20Budget%20Hearing%20-%20FINAL.pdf')]"
1,03/29/23,10:00AM,https://www.appropriations.senate.gov//hearings/a-review-of-the-presidents-fiscal-year-2024-budget-request-for-the-us-department-of-agriculture,Subcommittee Hearing:A Review of the President’s Fiscal Year 2024 Budget Request for the U.S. Department of Agriculture,Dirksen Senate Office Building 192,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=601D477F-CC31-AFAB-4F11-2ADA887F6051,['Tom Vilsack'],['https://www.appropriations.senate.gov/imo/media/doc/Secretary%20Vilsack%20Senate%20Ag%20Approps%20Testimony_FY2024_Final_revised_3_25.pdf'],"[('Tom Vilsack', 'https://www.appropriations.senate.gov/imo/media/doc/Secretary%20Vilsack%20Senate%20Ag%20Approps%20Testimony_FY2024_Final_revised_3_25.pdf')]"
2,03/29/23,09:30AM,https://www.appropriations.senate.gov//hearings/a-review-of-the-presidents-fiscal-year-2024-budget-request-for-the-department-of-interior,Subcommittee Hearing:A Review of the President’s Fiscal Year 2024 Budget Request for the Department of Interior,Dirksen Senate Office Building 124,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=5FEC8E57-E7D1-9FD7-6A5E-A5F4CD323C0B,['Deb Haaland'],['https://www.appropriations.senate.gov/imo/media/doc/SIERA%20DOI%20Secretary%20Hearing%20Testimony.pdf'],"[('Deb Haaland', 'https://www.appropriations.senate.gov/imo/media/doc/SIERA%20DOI%20Secretary%20Hearing%20Testimony.pdf')]"
3,03/28/23,02:30PM,https://www.appropriations.senate.gov//hearings/a-review-of-the-presidents-fiscal-year-2024-funding-request-for-the-us-department-of-justice,Subcommittee Hearing:A Review of the President’s Fiscal Year 2024 Funding Request for the U.S. Department of Justice,Dirksen Senate Office Building 192,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=2DBE5267-08E9-4FBA-9A11-309505752BF9,['Merrick Garland'],['https://www.appropriations.senate.gov/imo/media/doc/Written%20Statement%20of%20AG%20Garland%20-%20Senate%20CJS%20hearing%20(DOJ%20Budget%20FY24)%202023-03-28.pdf'],"[('Merrick Garland', 'https://www.appropriations.senate.gov/imo/media/doc/Written%20Statement%20of%20AG%20Garland%20-%20Senate%20CJS%20hearing%20(DOJ%20Budget%20FY24)%202023-03-28.pdf')]"
4,03/28/23,10:00AM,https://www.appropriations.senate.gov//hearings/review-of-the-presidents-fiscal-year-2024-budget-request-for-the-navy-and-marine-corps,Subcommittee Hearing:Review of the President's Fiscal Year 2024 Budget Request for the Navy and Marine Corps,Dirksen Senate Office Building 192,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=2CDABBA3-9DA7-FF5C-2626-ABDB0FC1B871,"['Carlos Del Toro', 'Michael M. Gilday', 'David H. Berger']","['https://www.appropriations.senate.gov/imo/media/doc/28MAR23%20SECNAV%20Posture%20Statement_SAC-D_Final%20(OMB%20Cleared%20-%20Clean).pdf', 'https://www.appropriations.senate.gov/imo/media/doc/28MAR23_CNO_SAC-D_USN_Posture_Hearing_FINAL%20(OMB%20Cleared%20-%20Clean).pdf', 'https://www.appropriations.senate.gov/imo/media/doc/230323_CMC%20Written%20Testimony%20(SAC-D)%20Submitted.pdf']","[('Carlos Del Toro', 'https://www.appropriations.senate.gov/imo/media/doc/28MAR23%20SECNAV%20Posture%20Statement_SAC-D_Final%20(OMB%20Cleared%20-%20Clean).pdf'), ('Michael M. Gilday', 'https://www.appropriations.senate.gov/imo/media/doc/28MAR23_CNO_SAC-D_USN_Posture_Hearing_FINAL%20(OMB%20Cleared%20-%20Clean).pdf'), ('David H. Berger', 'https://www.appropriations.senate.gov/imo/media/doc/230323_CMC%20Written%20Testimony%20(SAC-D)%20Submitted.pdf')]"
5,03/23/23,10:00AM,https://www.appropriations.senate.gov//hearings/review-of-the-presidents-fy-2024-funding-request-and-budget-justification-for-the-us-department-of-transportation,Subcommittee Hearing:Review of the President’s FY 2024 Funding Request and Budget Justification for the U.S. Department of Transportation,Dirksen Senate Office Building 192,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=2E6BDAC9-A91A-4214-35E5-F2A210E9E9AE,['Pete Buttigieg'],['https://www.appropriations.senate.gov/imo/media/doc/Witness%20Testimony%20-%20Sec.%20Buttigieg.pdf'],"[('Pete Buttigieg', 'https://www.appropriations.senate.gov/imo/media/doc/Witness%20Testimony%20-%20Sec.%20Buttigieg.pdf')]"
6,03/22/23,03:00PM,https://www.appropriations.senate.gov//hearings/fy2024-budget-requests-for-the-library-of-the-congress-and-the-architect-of-the-capitol,Subcommittee Hearing:FY2024 Budget Requests for the Library of the Congress and the Architect of the Capitol,Dirksen Senate Office Building 192,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=02C68A89-CE60-A16B-CA92-DA2E91BFDB9C,"['Carla Hayden', 'Chere Rexroat']","['https://www.appropriations.senate.gov/imo/media/doc/FY2024%20Testimony%20Senate%20Approp_Hayden.pdf', 'https://www.appropriations.senate.gov/imo/media/doc/AOC%20FY2024%20Written%20Testimony.pdf']","[('Carla Hayden', 'https://www.appropriations.senate.gov/imo/media/doc/FY2024%20Testimony%20Senate%20Approp_Hayden.pdf'), ('Chere Rexroat', 'https://www.appropriations.senate.gov/imo/media/doc/AOC%20FY2024%20Written%20Testimony.pdf')]"
7,03/22/23,02:30PM,https://www.appropriations.senate.gov//hearings/a-review-of-the-presidents-fy-2024-funding-request-and-budget-justification-for-the-department-of-health-and-human-services-2023,Subcommittee Hearing:A Review of the President’s FY 2024 Funding Request and Budget Justification for the Department of Health and Human Services,Dirksen Senate Office Building 138,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=FD0D8B16-C243-3DEB-64FB-D4B69722E32E,['Xavier Becerra'],['https://www.appropriations.senate.gov/imo/media/doc/Witness%20Testimony%20-%20Sec.%20Becerra.pdf'],"[('Xavier Becerra', 'https://www.appropriations.senate.gov/imo/media/doc/Witness%20Testimony%20-%20Sec.%20Becerra.pdf')]"
8,03/22/23,02:30PM,https://www.appropriations.senate.gov//hearings/review-of-the-fy-2024-budget-for-the-department-of-the-treasury,Subcommittee Hearing:Review of the FY 2024 Budget for the Department of the Treasury,Dirksen Senate Office Building 124,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=FCB929E8-CCAC-D992-5FDE-4B04375EC9D8,['Janet Yellen'],['https://www.appropriations.senate.gov/imo/media/doc/Senate%20FSGG%20Hearing%20Testimony.pdf'],"[('Janet Yellen', 'https://www.appropriations.senate.gov/imo/media/doc/Senate%20FSGG%20Hearing%20Testimony.pdf')]"
9,03/22/23,10:00AM,https://www.appropriations.senate.gov//hearings/a-review-of-the-fiscal-year-2024-presidents-budget-for-the-us-forest-service,Subcommittee Hearing:A Review of the Fiscal Year 2024 President’s Budget for the U.S. Forest Service,Dirksen Senate Office Building 124,Approporiations,2023-04-04,https://www.appropriations.senate.gov/hearings/watch?hearingid=F97F6B09-C1DF-F6B2-4F5F-F1D381344D57,['Randy Moore'],['https://www.appropriations.senate.gov/imo/media/doc/ChiefMoore_BudgetTestimonyFINAL_SENATE_20230320.pdf'],"[('Randy Moore', 'https://www.appropriations.senate.gov/imo/media/doc/ChiefMoore_BudgetTestimonyFINAL_SENATE_20230320.pdf')]"
