,Date,Time,URL,Title,Location,Committee,Date Scraped,video_url,witnesses,transcripts,witness_transcripts
0,09/15/22,10:00AM,https://www.armed-services.senate.gov/hearings/nomination_-cotton,Nomination - Cotton,Dirksen SD-G50,Armed,2022-09-14,,"['Anthony J. Cotton, USAF']",[''],"[('Anthony J. Cotton, USAF', '')]"
1,09/13/22,09:30AM,https://www.armed-services.senate.gov/hearings/nomination_-saltzman, Nomination - Saltzman,Dirksen SD-G50,Armed,2022-09-14,https://www.armed-services.senate.gov/hearings/watch?hearingid=2BBFD881-B849-ED9A-C961-34FF2F31CB2D,['Bradley C. Saltzman'],['https://www.armed-services.senate.gov/imo/media/doc/Saltzman%20SASC%20Hearing%20Written%20Statement%20Final2.pdf'],"[('Bradley C. Saltzman', 'https://www.armed-services.senate.gov/imo/media/doc/Saltzman%20SASC%20Hearing%20Written%20Statement%20Final2.pdf')]"
2,07/28/22,09:30AM,https://www.armed-services.senate.gov/hearings/nomination_-harris-plumb-owens-taylor-kale," Nomination - Harris, Plumb, Owens, Taylor-Kale",Dirksen SD-G50,Armed,2022-09-14,https://www.armed-services.senate.gov/hearings/watch?hearingid=57C3034B-998A-49AB-3133-834B00D982E1,"['Jack Reed', 'James Inhofe', 'Milancy Harris', 'Radha Plumb', 'Brendan Owens', 'Laura Taylor-Kale']","['https://www.armed-services.senate.gov/imo/media/doc/Plumb.Harris.Taylor-Kale.Owens%207.28.22_final%20(003)2.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/Inhofe%20Statement1.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/Harris%20APQ%20responses1.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/Plumb%20APQ%20responses1.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/Owens%20APQ%20responses1.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/Taylor-Kale%20APQ%20responses.pdf']","[('Jack Reed', 'https://www.armed-services.senate.gov/imo/media/doc/Plumb.Harris.Taylor-Kale.Owens%207.28.22_final%20(003)2.pdf'), ('James Inhofe', 'https://www.armed-services.senate.gov/imo/media/doc/Inhofe%20Statement1.pdf'), ('Milancy Harris', 'https://www.armed-services.senate.gov/imo/media/doc/Harris%20APQ%20responses1.pdf'), ('Radha Plumb', 'https://www.armed-services.senate.gov/imo/media/doc/Plumb%20APQ%20responses1.pdf'), ('Brendan Owens', 'https://www.armed-services.senate.gov/imo/media/doc/Owens%20APQ%20responses1.pdf'), ('Laura Taylor-Kale', 'https://www.armed-services.senate.gov/imo/media/doc/Taylor-Kale%20APQ%20responses.pdf')]"
3,07/21/22,09:30AM,https://www.armed-services.senate.gov/hearings/nomination_fenton-and-langley, Nomination- Fenton and Langley,Dirksen SD-G50,Armed,2022-09-14,https://www.armed-services.senate.gov/hearings/watch?hearingid=F0C9D838-9D53-850F-03AD-4723942D449A,"['Jack Reed', 'James Inhofe', 'Bryan Fenton', 'Michael Langley']","['https://www.armed-services.senate.gov/imo/media/doc/Reed%20Statement%207.21.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/07.21.22%20Inhofe%20Opening%20Remarks%20at%20AFRICOM%20SOCOM%20Nomination%20Hearing.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/Fenton%20APQ%20responses.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/Langley%20APQ%20responses1.pdf']","[('Jack Reed', 'https://www.armed-services.senate.gov/imo/media/doc/Reed%20Statement%207.21.pdf'), ('James Inhofe', 'https://www.armed-services.senate.gov/imo/media/doc/07.21.22%20Inhofe%20Opening%20Remarks%20at%20AFRICOM%20SOCOM%20Nomination%20Hearing.pdf'), ('Bryan Fenton', 'https://www.armed-services.senate.gov/imo/media/doc/Fenton%20APQ%20responses.pdf'), ('Michael Langley', 'https://www.armed-services.senate.gov/imo/media/doc/Langley%20APQ%20responses1.pdf')]"
4,06/15/22,09:30AM,https://www.armed-services.senate.gov/hearings/schedule-for-armed-services-full-committee-markup-of-the_national-defense-authorization-act-for-fiscal-year-2023,CLOSED:SCHEDULE FOR ARMED SERVICES FULL COMMITTEE MARKUP OF THE  NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2023,Russell SR-222,Armed,2022-09-14,,[],[],[]
5,06/14/22,03:30PM,https://www.armed-services.senate.gov/hearings/subcommittee-on-personnel-markup-for-fiscal-year-2023, SUBCOMMITTEE ON PERSONNEL MARKUP FOR FISCAL YEAR 2023,,Armed,2022-09-14,https://www.armed-services.senate.gov/hearings/watch?hearingid=D7C0BB5F-5056-A066-605B-560691E9F8D6,[],[],[]
6,06/14/22,09:30AM,https://www.armed-services.senate.gov/hearings/subcommittee-on-readiness-markup-for-fiscal-year-2023, SUBCOMMITTEE ON READINESS MARKUP FOR FISCAL YEAR 2023,,Armed,2022-09-14,https://www.armed-services.senate.gov/hearings/watch?hearingid=D786994E-5056-A066-60FE-DB15486838C3,[],[],[]
7,06/13/22,05:30PM,https://www.armed-services.senate.gov/hearings/schedule-for-armed-services-subcommittee-markups_of-the-national-defense-authorization-act-for-fiscal-year-2023,CLOSED:SCHEDULE FOR ARMED SERVICES SUBCOMMITTEE MARKUPS  OF THE NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2023,Russell SR-232A,Armed,2022-09-14,,[],[],[]
8,05/26/22,09:30AM,https://www.armed-services.senate.gov/hearings/nomination_-cavoli, Nomination - Cavoli,Dirksen SD-G50,Armed,2022-09-14,https://www.armed-services.senate.gov/hearings/watch?hearingid=4B5C69D6-5056-A066-6046-0424DA664B98,"['Jack Reed', 'Jim Inhofe', 'Christopher Cavoli']","['https://www.armed-services.senate.gov/imo/media/doc/Cavoli%20EUCOM%2005.26.22_final1.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/05.26.22%20EUCOM%20Nomination%20-%20Inhofe%20Opening%20Remarks.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/Cavoli%20APQ%20responses.pdf']","[('Jack Reed', 'https://www.armed-services.senate.gov/imo/media/doc/Cavoli%20EUCOM%2005.26.22_final1.pdf'), ('Jim Inhofe', 'https://www.armed-services.senate.gov/imo/media/doc/05.26.22%20EUCOM%20Nomination%20-%20Inhofe%20Opening%20Remarks.pdf'), ('Christopher Cavoli', 'https://www.armed-services.senate.gov/imo/media/doc/Cavoli%20APQ%20responses.pdf')]"
9,05/19/22,09:30AM,https://www.armed-services.senate.gov/hearings/to-receive-testimony-on-the-department-of-energy-and-national-nuclear-security-administration-on-atomic-energy-defense-activities-in-review-of-the-defense-authorization-request-for-fiscal-year-2023-and-the-future-years-defense-program,OPEN/CLOSED:To receive testimony on the Department of Energy and National Nuclear Security Administration on atomic energy defense activities in review of the Defense Authorization Request for Fiscal Year 2023 and the Future Years Defense Program,Dirksen SD-G50,Armed,2022-09-14,https://www.armed-services.senate.gov/hearings/watch?hearingid=E0A192C8-5056-A066-6091-161BB80F0AD5,"['Jack Reed', 'Jim Inhofe', 'Jennifer Granholm', 'Jill Hruby']","['https://www.armed-services.senate.gov/imo/media/doc/DOE%20Posture%20Opening%20Statement%205.19.22_v4.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/05.19.22%20NNSA%20-%20Inhofe%20Opening%20Remarks.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/5.19.22%20SASC%20Secretary%20Granholm%20and%20NNSA%20Hruby%20Testimony.pdf', 'https://www.armed-services.senate.gov/imo/media/doc/5.19.22%20SASC%20Secretary%20Granholm%20and%20NNSA%20Hruby%20Testimony.pdf']","[('Jack Reed', 'https://www.armed-services.senate.gov/imo/media/doc/DOE%20Posture%20Opening%20Statement%205.19.22_v4.pdf'), ('Jim Inhofe', 'https://www.armed-services.senate.gov/imo/media/doc/05.19.22%20NNSA%20-%20Inhofe%20Opening%20Remarks.pdf'), ('Jennifer Granholm', 'https://www.armed-services.senate.gov/imo/media/doc/5.19.22%20SASC%20Secretary%20Granholm%20and%20NNSA%20Hruby%20Testimony.pdf'), ('Jill Hruby', 'https://www.armed-services.senate.gov/imo/media/doc/5.19.22%20SASC%20Secretary%20Granholm%20and%20NNSA%20Hruby%20Testimony.pdf')]"
