,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
0,04/06/22,02:30PM,https://www.banking.senate.gov/hearings/advancing-public-transportation-in-small-cities-and-rural-places-under-the-bipartisan-infrastructure-law,Subcommittee Hearing:Advancing Public Transportation in Small Cities and Rural Places under the Bipartisan Infrastructure Law,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Ryan Daniel', 'Scott Bogren', 'Baruch Feigenbaum']","['', '', '']","[('Ryan Daniel', ''), ('Scott Bogren', ''), ('Baruch Feigenbaum', '')]",,,,,
1,04/06/22,10:00AM,https://www.banking.senate.gov/hearings/03/29/2022/nomination-hearing,Nomination Hearing:Nomination Hearing,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Ventris C. Gibson', 'Paul M. Rosen']","['', '']","[('Ventris C. Gibson', ''), ('Paul M. Rosen', '')]",,,,,
2,04/05/22,10:00AM,https://www.banking.senate.gov/hearings/keeping-markets-fair-considering-insider-trading-legislation,Full Committee Hearing:Keeping Markets Fair: Considering Insider Trading Legislation,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Robert J. Jackson Jr.', 'Professor M. Todd Henderson', 'David R. Burton', 'Professor John C. Coffee Jr.']","['https://www.banking.senate.gov/imo/media/doc/Jackson%20Testimony%204-5-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Henderson%20Testimony%204-5-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Burton%20Testimony%204-5-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Coffee%20Testimony%204-5-22.pdf']","[('Robert J. Jackson Jr.', 'https://www.banking.senate.gov/imo/media/doc/Jackson%20Testimony%204-5-22.pdf'), ('Professor M. Todd Henderson', 'https://www.banking.senate.gov/imo/media/doc/Henderson%20Testimony%204-5-22.pdf'), ('David R. Burton', 'https://www.banking.senate.gov/imo/media/doc/Burton%20Testimony%204-5-22.pdf'), ('Professor John C. Coffee Jr.', 'https://www.banking.senate.gov/imo/media/doc/Coffee%20Testimony%204-5-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=728E64E6-5056-A066-60FF-0D0A7ECFC886,,,,
3,03/31/22,10:00AM,https://www.banking.senate.gov/hearings/affordability-and-accessibility-addressing-the-housing-needs-of-americas-seniors,Full Committee Hearing:Affordability and Accessibility: Addressing the Housing Needs of America’s Seniors,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Jennifer Molinsky', 'Audra Hamernik', 'Thomas Wade', 'Norbert J. Michel', 'Shannon Guzman']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-31-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-31-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Molinsky%20Testimony%203-31-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Hamernik%20Testimony%203-31-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Wade%20Testimony%203-31-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Michel%20Testimony%203-31-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Guzman%20Testimony%203-31-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-31-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-31-22.pdf'), ('Jennifer Molinsky', 'https://www.banking.senate.gov/imo/media/doc/Molinsky%20Testimony%203-31-22.pdf'), ('Audra Hamernik', 'https://www.banking.senate.gov/imo/media/doc/Hamernik%20Testimony%203-31-22.pdf'), ('Thomas Wade', 'https://www.banking.senate.gov/imo/media/doc/Wade%20Testimony%203-31-22.pdf'), ('Norbert J. Michel', 'https://www.banking.senate.gov/imo/media/doc/Michel%20Testimony%203-31-22.pdf'), ('Shannon Guzman', 'https://www.banking.senate.gov/imo/media/doc/Guzman%20Testimony%203-31-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=6C1C66E9-5056-A066-6055-36F8F83A375F,,,,
4,03/29/22,10:00AM,https://www.banking.senate.gov/hearings/economic-impact-of-the-growing-burden-of-medical-debt,Full Committee Hearing:Economic Impact of the Growing Burden of Medical Debt,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Robyn M. King', 'Emily Stewart', 'Benedic N. Ippolito', 'Professor David A. Hyman', 'Berneta L. Haynes']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-29-221.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-29-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/King%20Testimony%203-29-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Stewart%20Testimony%203-29-221.pdf', 'https://www.banking.senate.gov/imo/media/doc/Ippolito%20Testimony%203-29-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Hyman%20Testimony%203-29-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Haynes%20Testimony%203-29-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-29-221.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-29-22.pdf'), ('Robyn M. King', 'https://www.banking.senate.gov/imo/media/doc/King%20Testimony%203-29-22.pdf'), ('Emily Stewart', 'https://www.banking.senate.gov/imo/media/doc/Stewart%20Testimony%203-29-221.pdf'), ('Benedic N. Ippolito', 'https://www.banking.senate.gov/imo/media/doc/Ippolito%20Testimony%203-29-22.pdf'), ('Professor David A. Hyman', 'https://www.banking.senate.gov/imo/media/doc/Hyman%20Testimony%203-29-22.pdf'), ('Berneta L. Haynes', 'https://www.banking.senate.gov/imo/media/doc/Haynes%20Testimony%203-29-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=06200F2A-5056-A066-600A-874566976B46,,,,
5,03/24/22,10:00AM,https://www.banking.senate.gov/hearings/strengthening-oversight-and-equity-in-the-appraisal-process,Legislative:Strengthening Oversight and Equity in the Appraisal Process,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Melody Taylor', 'James Park']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-24-221.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-24-221.pdf', 'https://www.banking.senate.gov/imo/media/doc/Taylor%20Testimony%203-24-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Park%20Testimony%203-24-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-24-221.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-24-221.pdf'), ('Melody Taylor', 'https://www.banking.senate.gov/imo/media/doc/Taylor%20Testimony%203-24-22.pdf'), ('James Park', 'https://www.banking.senate.gov/imo/media/doc/Park%20Testimony%203-24-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=1C7E22F2-5056-A066-604B-51648EA16ED4,,,,
6,03/22/22,10:15AM,https://www.banking.senate.gov/hearings/building-a-resilient-economy-shoring-up-supply,Full Committee Hearing:Building a Resilient Economy: Shoring Up Supply,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'William E. Spriggs', 'Betsey Stevenson', 'Erica R.H. Fuchs', 'Veronique de Rugy', 'Phil Levy']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-22-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-22-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Spriggs%20Testimony%203-22-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Stevenson%20Testimony%203-22-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Fuchs%20Testimony%203-22-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/De%20Rugy%20Testimony%203-22-224.pdf', 'https://www.banking.senate.gov/imo/media/doc/Levy%20Testimony%203-22-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-22-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-22-22.pdf'), ('William E. Spriggs', 'https://www.banking.senate.gov/imo/media/doc/Spriggs%20Testimony%203-22-22.pdf'), ('Betsey Stevenson', 'https://www.banking.senate.gov/imo/media/doc/Stevenson%20Testimony%203-22-22.pdf'), ('Erica R.H. Fuchs', 'https://www.banking.senate.gov/imo/media/doc/Fuchs%20Testimony%203-22-22.pdf'), ('Veronique de Rugy', 'https://www.banking.senate.gov/imo/media/doc/De%20Rugy%20Testimony%203-22-224.pdf'), ('Phil Levy', 'https://www.banking.senate.gov/imo/media/doc/Levy%20Testimony%203-22-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=9CD86F2F-5056-A066-602F-C075F4914543,,,,
7,03/17/22,10:00AM,https://www.banking.senate.gov/hearings/understanding-the-role-of-digital-assets-in-illicit-finance,Full Committee Hearing:Understanding the Role of Digital Assets in Illicit Finance,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Jonathan Levin', 'Michael Mosier', 'Michael Chobanian', 'Shane Stansbury']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-17-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-17-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Levin%20Testimony%203-17-223.pdf', 'https://www.banking.senate.gov/imo/media/doc/Mosier%20Testimony%203-17-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Chobanian%20Testimony%203-17-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Stansbury%20Testimony%203-17-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-17-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-17-22.pdf'), ('Jonathan Levin', 'https://www.banking.senate.gov/imo/media/doc/Levin%20Testimony%203-17-223.pdf'), ('Michael Mosier', 'https://www.banking.senate.gov/imo/media/doc/Mosier%20Testimony%203-17-22.pdf'), ('Michael Chobanian', 'https://www.banking.senate.gov/imo/media/doc/Chobanian%20Testimony%203-17-22.pdf'), ('Shane Stansbury', 'https://www.banking.senate.gov/imo/media/doc/Stansbury%20Testimony%203-17-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=A2DA838C-5056-A066-60D6-FD9EC0601E97,,,,
8,03/15/22,02:30PM,https://www.banking.senate.gov/hearings/advancing-public-transportation-under-the-bipartisan-infrastructure-law,Full Committee Hearing:Advancing Public Transportation under the Bipartisan Infrastructure Law,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Joanna M. Pinkerton', 'Collie Greenwood', 'Greg Regan', 'Dorothy Moses Schulz', 'Randal O’Toole']","['https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-15-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-15-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Pinkerton%20Testimony%203-15-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Greenwood%20Testimony%203-15-221.pdf', 'https://www.banking.senate.gov/imo/media/doc/Regan%20Testimony%203-15-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Schulz%20Testimony%203-15-22.pdf', ""https://www.banking.senate.gov/imo/media/doc/O'Toole%20Testimony%203-15-22.pdf""]","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-15-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-15-22.pdf'), ('Joanna M. Pinkerton', 'https://www.banking.senate.gov/imo/media/doc/Pinkerton%20Testimony%203-15-22.pdf'), ('Collie Greenwood', 'https://www.banking.senate.gov/imo/media/doc/Greenwood%20Testimony%203-15-221.pdf'), ('Greg Regan', 'https://www.banking.senate.gov/imo/media/doc/Regan%20Testimony%203-15-22.pdf'), ('Dorothy Moses Schulz', 'https://www.banking.senate.gov/imo/media/doc/Schulz%20Testimony%203-15-22.pdf'), ('Randal O’Toole', ""https://www.banking.senate.gov/imo/media/doc/O'Toole%20Testimony%203-15-22.pdf"")]",https://www.banking.senate.gov/hearings/watch?hearingid=30783048-5056-A066-6029-80F3D56FB8B9,,,,
9,03/08/22,10:00AM,https://www.banking.senate.gov/hearings/examining-mandatory-arbitration-in-financial-service-products,Full Committee Hearing:Examining Mandatory Arbitration in Financial Service Products,Dirksen Senate Office Building 538,Banking,2022-04-05,"['Chairman Sherrod Brown', 'Ranking Member Patrick J. Toomey', 'Paul Bland', 'Remington A. Gregg', 'Professor Todd J. Zywicki', 'Steven Lehotsky', 'Professor Myriam Gilles']","['https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-8-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-8-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Bland%20Testimony%203-8-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Gregg%20Testimony%203-8-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Zywicki%20Testimony%203-8-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Lehotsky%20Testimony%203-8-22.pdf', 'https://www.banking.senate.gov/imo/media/doc/Gilles%20Testimony%203-8-22.pdf']","[('Chairman Sherrod Brown', 'https://www.banking.senate.gov/imo/media/doc/Toomey%20Statement%203-8-22.pdf'), ('Ranking Member Patrick J. Toomey', 'https://www.banking.senate.gov/imo/media/doc/Brown%20Statement%203-8-22.pdf'), ('Paul Bland', 'https://www.banking.senate.gov/imo/media/doc/Bland%20Testimony%203-8-22.pdf'), ('Remington A. Gregg', 'https://www.banking.senate.gov/imo/media/doc/Gregg%20Testimony%203-8-22.pdf'), ('Professor Todd J. Zywicki', 'https://www.banking.senate.gov/imo/media/doc/Zywicki%20Testimony%203-8-22.pdf'), ('Steven Lehotsky', 'https://www.banking.senate.gov/imo/media/doc/Lehotsky%20Testimony%203-8-22.pdf'), ('Professor Myriam Gilles', 'https://www.banking.senate.gov/imo/media/doc/Gilles%20Testimony%203-8-22.pdf')]",https://www.banking.senate.gov/hearings/watch?hearingid=CB3B1C9F-5056-A066-6019-AD9FB6B8A927,,,,
