,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1
0,04/28/2022,,https://www.commerce.senate.gov/2022/4/nomination-hearing-for-u-s-coast-guard-commandant-nominee-admiral-linda-fagan,Nomination Hearing for U.S. Coast Guard Commandant Nominee Admiral Linda Fagan,,Commerce,2022-04-26,[],[],[],https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce042822&auto_play=false&wmode=opaque,,,,,,,,
1,04/27/2022,,https://www.commerce.senate.gov/2022/4/commerce-committee-announces-hearing-on-commerce-dept-budget-priorities-with-sec-raimondo,Department of Commerce Fiscal Year 2023 Budget Priorities,,Commerce,2022-04-26,[],[],[],https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce042722&auto_play=false&wmode=opaque,,,,,,,,
2,04/5/2022,,https://www.commerce.senate.gov/2022/4/ensuring-transparency-in-petroleum-markets,Ensuring Transparency in Petroleum Markets,,Commerce,2022-04-26,"['Cantwell', 'Cantwell', 'Robert McCullough', 'Kathleen Sgamma']","['https://www.commerce.senate.gov/services/files/682F0462-8599-43E4-91F7-79D115803C04', 'https://www.commerce.senate.gov/services/files/A9DE2F8C-661F-4120-927B-2416DBEA0395', 'https://www.commerce.senate.gov/services/files/3EBA351C-E746-4FFC-B876-85434B4E1619', 'https://www.commerce.senate.gov/services/files/6793E314-6B28-4075-B8EA-6AFEFD225E04']","[('Cantwell', 'https://www.commerce.senate.gov/services/files/682F0462-8599-43E4-91F7-79D115803C04'), ('Cantwell', 'https://www.commerce.senate.gov/services/files/A9DE2F8C-661F-4120-927B-2416DBEA0395'), ('Robert McCullough', 'https://www.commerce.senate.gov/services/files/3EBA351C-E746-4FFC-B876-85434B4E1619'), ('Kathleen Sgamma', 'https://www.commerce.senate.gov/services/files/6793E314-6B28-4075-B8EA-6AFEFD225E04')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce040522&auto_play=false&wmode=opaque,,,,,,,,
3,03/28/2022,,https://www.commerce.senate.gov/2022/3/sen-peters-to-host-commerce-subcommittee-field-hearing-in-detroit-on-march-28,Made in America: The Future of Automotive Innovation and Semiconductor Chips,,Commerce,2022-04-26,"['Peters', 'Steve Dawes', 'Robert Rathert', 'Garrick Francis', 'Glenn Stevens']","['https://www.commerce.senate.gov/services/files/9328BD37-7E1F-4513-B2D6-3768BCE6FCAD', 'https://www.commerce.senate.gov/services/files/C90649EA-E2E2-41B7-859B-A51354A9D321', 'https://www.commerce.senate.gov/services/files/D32DC7B1-F7A2-43E0-8F5F-D1FE478A85C2', 'https://www.commerce.senate.gov/services/files/E19369F7-D33D-4438-8065-F9461C694548', 'https://www.commerce.senate.gov/services/files/C5E50F34-7CAA-4167-8D1F-3964AC622A25']","[('Peters', 'https://www.commerce.senate.gov/services/files/9328BD37-7E1F-4513-B2D6-3768BCE6FCAD'), ('Steve Dawes', 'https://www.commerce.senate.gov/services/files/C90649EA-E2E2-41B7-859B-A51354A9D321'), ('Robert Rathert', 'https://www.commerce.senate.gov/services/files/D32DC7B1-F7A2-43E0-8F5F-D1FE478A85C2'), ('Garrick Francis', 'https://www.commerce.senate.gov/services/files/E19369F7-D33D-4438-8065-F9461C694548'), ('Glenn Stevens', 'https://www.commerce.senate.gov/services/files/C5E50F34-7CAA-4167-8D1F-3964AC622A25')]",,,,,,,,,
4,03/23/2022,,https://www.commerce.senate.gov/2022/3/developing-next-generation-technology-for-innovation,Developing Next Generation Technology for Innovation,,Commerce,2022-04-26,"['Cantwell', 'Preston Feight', 'Pat Gelsinger', 'Sanjay Mehrotra', 'Tim Archer']","['https://www.commerce.senate.gov/services/files/E8DBFD85-886C-447B-BCD0-E89BEBC1EF32', 'https://www.commerce.senate.gov/services/files/3075AF17-AF07-4402-B8EF-9AE7F45CE269', 'https://www.commerce.senate.gov/services/files/6778DDE7-A079-4F1F-84D4-BF91840DE506', 'https://www.commerce.senate.gov/services/files/5C506781-71B5-44DD-903E-00BF154CA8C5', 'https://www.commerce.senate.gov/services/files/30FA9ECA-A794-4A27-99FB-95FE1365E9E9']","[('Cantwell', 'https://www.commerce.senate.gov/services/files/E8DBFD85-886C-447B-BCD0-E89BEBC1EF32'), ('Preston Feight', 'https://www.commerce.senate.gov/services/files/3075AF17-AF07-4402-B8EF-9AE7F45CE269'), ('Pat Gelsinger', 'https://www.commerce.senate.gov/services/files/6778DDE7-A079-4F1F-84D4-BF91840DE506'), ('Sanjay Mehrotra', 'https://www.commerce.senate.gov/services/files/5C506781-71B5-44DD-903E-00BF154CA8C5'), ('Tim Archer', 'https://www.commerce.senate.gov/services/files/30FA9ECA-A794-4A27-99FB-95FE1365E9E9')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce032322&auto_play=false&wmode=opaque,,,,,,,,
5,03/22/2022,,https://www.commerce.senate.gov/2022/3/executive-session,Executive Session,,Commerce,2022-04-26,['Cantwell'],['https://www.commerce.senate.gov/services/files/CB5CC6FF-CD88-4B7A-B5AB-224E64F8DB46'],"[('Cantwell', 'https://www.commerce.senate.gov/services/files/CB5CC6FF-CD88-4B7A-B5AB-224E64F8DB46')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce032222&auto_play=false&wmode=opaque,,,,,,,,
6,03/3/2022,,https://www.commerce.senate.gov/2022/3/executive-session-and-hearing,Executive Session and Ocean Shipping Reform Act Hearing,,Commerce,2022-04-26,"['Maria Cantwell', 'Amy Klobuchar', 'Daniel B. Maffei', 'Rebecca F. Dye']","['https://www.commerce.senate.gov/services/files/D4269BF4-DED3-47A0-9049-BA0A9E3AEFB3', 'https://www.commerce.senate.gov/services/files/A10E152E-12B9-4F67-AB54-7C0F99CE43B9', 'https://www.commerce.senate.gov/services/files/2C8D7016-F2B3-4543-AE7E-B419E22B769D', 'https://www.commerce.senate.gov/services/files/CB42D5EA-2190-4E49-9C41-C275ED95A0E5']","[('Maria Cantwell', 'https://www.commerce.senate.gov/services/files/D4269BF4-DED3-47A0-9049-BA0A9E3AEFB3'), ('Amy Klobuchar', 'https://www.commerce.senate.gov/services/files/A10E152E-12B9-4F67-AB54-7C0F99CE43B9'), ('Daniel B. Maffei', 'https://www.commerce.senate.gov/services/files/2C8D7016-F2B3-4543-AE7E-B419E22B769D'), ('Rebecca F. Dye', 'https://www.commerce.senate.gov/services/files/CB42D5EA-2190-4E49-9C41-C275ED95A0E5')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce030322&auto_play=false&wmode=opaque,,,,,,,,
7,02/9/2022,,https://www.commerce.senate.gov/2022/2/nasa-accountability-and-oversight,NASA Accountability and Oversight,,Commerce,2022-04-26,"['Cantwell', 'Hickenlooper', 'James Free Associate Administrator NASA Exploration Systems Development Mission Directorate; James Reuter Associate Administrator NASA Space Technology Mission Directorate; Thomas Zurbuchen Associate Administrator NASA Science Mission Directorate', 'W. William Russell', 'Scott Pace']","['https://www.commerce.senate.gov/services/files/AA23796F-1F45-4B21-B11A-A8BBA6E729A4', 'https://www.commerce.senate.gov/services/files/7AF16A96-303A-4819-BA6C-AB89850EBADC', 'https://www.commerce.senate.gov/services/files/AC95D967-18A9-47AF-A942-0E5C553F1B3F', 'https://www.commerce.senate.gov/services/files/C574CD47-B7C2-4A64-B5B5-BFC1068660C6', 'https://www.commerce.senate.gov/services/files/CFEFC7E1-E2EF-4C42-ABC8-DDBC05B6BD66']","[('Cantwell', 'https://www.commerce.senate.gov/services/files/AA23796F-1F45-4B21-B11A-A8BBA6E729A4'), ('Hickenlooper', 'https://www.commerce.senate.gov/services/files/7AF16A96-303A-4819-BA6C-AB89850EBADC'), ('James Free Associate Administrator NASA Exploration Systems Development Mission Directorate; James Reuter Associate Administrator NASA Space Technology Mission Directorate; Thomas Zurbuchen Associate Administrator NASA Science Mission Directorate', 'https://www.commerce.senate.gov/services/files/AC95D967-18A9-47AF-A942-0E5C553F1B3F'), ('W. William Russell', 'https://www.commerce.senate.gov/services/files/C574CD47-B7C2-4A64-B5B5-BFC1068660C6'), ('Scott Pace', 'https://www.commerce.senate.gov/services/files/CFEFC7E1-E2EF-4C42-ABC8-DDBC05B6BD66')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce020922p&auto_play=false&wmode=opaque,,,,,,,,
8,02/9/2022,,https://www.commerce.senate.gov/2022/2/nominations-hearing,Nominations Hearing,,Commerce,2022-04-26,"['Maria Cantwell', 'Roger Wicker', 'Gigi B. Sohn']","['', '', 'https://www.commerce.senate.gov/services/files/93CFCD1F-A60F-4688-A820-63B18A0A0ACB']","[('Maria Cantwell', ''), ('Roger Wicker', ''), ('Gigi B. Sohn', 'https://www.commerce.senate.gov/services/files/93CFCD1F-A60F-4688-A820-63B18A0A0ACB')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce020922&auto_play=false&wmode=opaque,,,,,,,,
9,02/2/2022,,https://www.commerce.senate.gov/2022/2/executive-session,Executive Session,,Commerce,2022-04-26,['Maria Cantwell'],[''],"[('Maria Cantwell', '')]",https://www.senate.gov/isvp/?type=arch&comm=commerce&filename=commerce020222&auto_play=false&wmode=opaque,,,,,,,,
