,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0,Unnamed: 0.1
0,3/23/22,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=79279D16-E2C3-4DAF-80C9-C1DFEFF5860F,Promoting American Energy Security by Facilitating Investments and Innovation in Climate Solutions,,Enviroment,2022-03-24,"['Raymond E. Mabus', 'Katherine Stainken', 'Jim Matheson', 'Kathleen Sgamma']","['https://www.epw.senate.gov/public/_cache/files/8/e/8e9a5c08-6697-4e7d-9fb5-b29158769c68/4F93DA40F3626AE6E6A8927797B2E30A.03-23-2022-secretary-mabus-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/3/c/3ca85793-479a-47fc-8245-d01236b3cfc7/31FBE358C64F644536B7E1878AE5D402.03-23-2022-stainken-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/b/b/bbd9b89d-4e5e-486e-9837-0284fbcf5a68/A5D46438FB542FE6BE2A8A9DF702F483.03-23-2022-matheson-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/1/e/1e5aa399-356a-4292-b6ad-716424416dd6/06AFA46AEA4F715AB998D9192DCF5B08.03-23-2022-sgamma-testimony.pdf']","[('Raymond E. Mabus', 'https://www.epw.senate.gov/public/_cache/files/8/e/8e9a5c08-6697-4e7d-9fb5-b29158769c68/4F93DA40F3626AE6E6A8927797B2E30A.03-23-2022-secretary-mabus-testimony.pdf'), ('Katherine Stainken', 'https://www.epw.senate.gov/public/_cache/files/3/c/3ca85793-479a-47fc-8245-d01236b3cfc7/31FBE358C64F644536B7E1878AE5D402.03-23-2022-stainken-testimony.pdf'), ('Jim Matheson', 'https://www.epw.senate.gov/public/_cache/files/b/b/bbd9b89d-4e5e-486e-9837-0284fbcf5a68/A5D46438FB542FE6BE2A8A9DF702F483.03-23-2022-matheson-testimony.pdf'), ('Kathleen Sgamma', 'https://www.epw.senate.gov/public/_cache/files/1/e/1e5aa399-356a-4292-b6ad-716424416dd6/06AFA46AEA4F715AB998D9192DCF5B08.03-23-2022-sgamma-testimony.pdf')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw032322&auto_play=false,,
1,3/16/22,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=D6992873-1253-4FD4-AB08-CBCD062C5872,Oversight of the Clean Water State Revolving Loan Fund Formula,,Enviroment,2022-03-24,"['Jonathan Ramseur', 'Tom Sigmund', 'Kyle Dreyfuss-Wells', 'Laura Watson']","['https://www.epw.senate.gov/public/_cache/files/1/e/1e11f28b-9143-4805-a789-be2f58e4d180/5061382AE87564443870F418FCED2428.03-16-2022-ramseur-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/6/7/67b4b28d-5e39-4d9c-b7ef-4485c0860d58/5A66ABA60A5284FA2172D434437AC633.03-16-2022-sigmund-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/2/e/2e130b7a-cb55-427f-a7da-efb4a876706a/40DB5CE3DE880E447EE83F061A2B49EF.03-16-2022-dreyfuss-wells-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/e/4/e47badb2-6eb3-478a-af10-0c3103505a8a/E637AB3E4EE96F2D1EBF874D0C0F765A.03-16-2022-watson-testimony.pdf']","[('Jonathan Ramseur', 'https://www.epw.senate.gov/public/_cache/files/1/e/1e11f28b-9143-4805-a789-be2f58e4d180/5061382AE87564443870F418FCED2428.03-16-2022-ramseur-testimony.pdf'), ('Tom Sigmund', 'https://www.epw.senate.gov/public/_cache/files/6/7/67b4b28d-5e39-4d9c-b7ef-4485c0860d58/5A66ABA60A5284FA2172D434437AC633.03-16-2022-sigmund-testimony.pdf'), ('Kyle Dreyfuss-Wells', 'https://www.epw.senate.gov/public/_cache/files/2/e/2e130b7a-cb55-427f-a7da-efb4a876706a/40DB5CE3DE880E447EE83F061A2B49EF.03-16-2022-dreyfuss-wells-testimony.pdf'), ('Laura Watson', 'https://www.epw.senate.gov/public/_cache/files/e/4/e47badb2-6eb3-478a-af10-0c3103505a8a/E637AB3E4EE96F2D1EBF874D0C0F765A.03-16-2022-watson-testimony.pdf')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw031622&auto_play=false,,
2,3/2/22,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=5AC11745-E5F6-4918-BB15-06AA28FA332E,Implementation of the Infrastructure Investment and Jobs Act by the U.S. Department of Transportation,,Enviroment,2022-03-24,"['Pete Buttigieg', '']","['https://www.epw.senate.gov/public/_cache/files/b/e/bec97156-0f77-4617-b455-e30322e66627/AB57842722FFA359B1F7DDE9BED6B3F7.03-02-2022-secretary-buttigieg-testimony.pdf', '']","[('Pete Buttigieg', 'https://www.epw.senate.gov/public/_cache/files/b/e/bec97156-0f77-4617-b455-e30322e66627/AB57842722FFA359B1F7DDE9BED6B3F7.03-02-2022-secretary-buttigieg-testimony.pdf'), ('', '')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw030222&auto_play=false,,
3,2/23/22,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=6558022D-DEF9-427B-9F2E-966A932EFBDB,Examining Shoreline and Riverbank Restoration in the face of Climate Change,,Enviroment,2022-03-24,"['Major General William “Butch” Graham', 'Brigadier General Jason E. Kelly', 'John Bel Edwards', 'John Carney', 'Kathleen Lock', 'Derek Brockbank', '']","['https://www.epw.senate.gov/public/_cache/files/9/f/9f27330a-40bb-431e-9752-c6291197ae6d/3F7DDF7EB85CAEF8165208337CB40DEB.02-23-2022-mg-graham-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/e/9/e976f88d-d494-4812-925d-330b70aeec0f/2C335451D612A87AC8B4680D628F96F3.02-23-2022-bg-kelly-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/b/1/b12c0001-616f-4543-8aa7-1b196455112b/D294E9F237DB78500C9080434F2A7BF8.02-23-2022-governor-edwards-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/a/1/a1241a2b-ceb3-45e6-b141-445aed96fa2c/C22C55891079CF34D0CA0005FBD86849.02-23-2022-governor-carney-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/1/e/1edaa239-d167-4066-8b4f-5f6b760a8ed5/D9FB6AE53801E4CE5539A09C2F20E16E.02-23-2022-mayor-lock-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/d/3/d31fb644-56f2-4109-84d5-dab2c6f33f12/E032620D01EA8230A29858B33DEA2C63.02-23-2022-brockbank-testimony.pdf', '']","[('Major General William “Butch” Graham', 'https://www.epw.senate.gov/public/_cache/files/9/f/9f27330a-40bb-431e-9752-c6291197ae6d/3F7DDF7EB85CAEF8165208337CB40DEB.02-23-2022-mg-graham-testimony.pdf'), ('Brigadier General Jason E. Kelly', 'https://www.epw.senate.gov/public/_cache/files/e/9/e976f88d-d494-4812-925d-330b70aeec0f/2C335451D612A87AC8B4680D628F96F3.02-23-2022-bg-kelly-testimony.pdf'), ('John Bel Edwards', 'https://www.epw.senate.gov/public/_cache/files/b/1/b12c0001-616f-4543-8aa7-1b196455112b/D294E9F237DB78500C9080434F2A7BF8.02-23-2022-governor-edwards-testimony.pdf'), ('John Carney', 'https://www.epw.senate.gov/public/_cache/files/a/1/a1241a2b-ceb3-45e6-b141-445aed96fa2c/C22C55891079CF34D0CA0005FBD86849.02-23-2022-governor-carney-testimony.pdf'), ('Kathleen Lock', 'https://www.epw.senate.gov/public/_cache/files/1/e/1edaa239-d167-4066-8b4f-5f6b760a8ed5/D9FB6AE53801E4CE5539A09C2F20E16E.02-23-2022-mayor-lock-testimony.pdf'), ('Derek Brockbank', 'https://www.epw.senate.gov/public/_cache/files/d/3/d31fb644-56f2-4109-84d5-dab2c6f33f12/E032620D01EA8230A29858B33DEA2C63.02-23-2022-brockbank-testimony.pdf'), ('', '')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw022322&auto_play=false,,
4,2/16/22,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=4D3B03FA-EEE2-4DD2-909D-A184B51294E6,The Environmental Protection Agency’s Renewable Fuel Standard Program: Challenges and Opportunities,,Enviroment,2022-03-24,"['Cory-Ann Wind', 'Emily Skor', 'Lucian Pugliaresi', 'LeAnn Johnson Koch', '']","['https://www.epw.senate.gov/public/_cache/files/5/c/5cb2549f-37eb-4c95-a510-79fd04e56484/CA5AA0229A4A96FC0DE5BE5BFF477217.02-16-2022-wind-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/b/4/b42564c5-808f-4354-bc04-cd7569fd6dd8/2D54BB31639C91F87CC02A737AC33591.02-16-2022-skor-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/8/c/8c2e29b8-b783-4b54-8a94-a924c0111f71/6BC5D91D8FFABF0AFDF5F1C68549A435.02-16-2022-pugliaresi-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/2/6/268510aa-aec3-4d41-9ecb-33939f9e39d1/94D608157BE5E4B793A0569533D9A3B3.02-16-2022-johnson-koch-testimony.pdf', '']","[('Cory-Ann Wind', 'https://www.epw.senate.gov/public/_cache/files/5/c/5cb2549f-37eb-4c95-a510-79fd04e56484/CA5AA0229A4A96FC0DE5BE5BFF477217.02-16-2022-wind-testimony.pdf'), ('Emily Skor', 'https://www.epw.senate.gov/public/_cache/files/b/4/b42564c5-808f-4354-bc04-cd7569fd6dd8/2D54BB31639C91F87CC02A737AC33591.02-16-2022-skor-testimony.pdf'), ('Lucian Pugliaresi', 'https://www.epw.senate.gov/public/_cache/files/8/c/8c2e29b8-b783-4b54-8a94-a924c0111f71/6BC5D91D8FFABF0AFDF5F1C68549A435.02-16-2022-pugliaresi-testimony.pdf'), ('LeAnn Johnson Koch', 'https://www.epw.senate.gov/public/_cache/files/2/6/268510aa-aec3-4d41-9ecb-33939f9e39d1/94D608157BE5E4B793A0569533D9A3B3.02-16-2022-johnson-koch-testimony.pdf'), ('', '')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw021622&auto_play=false,,
5,2/9/22,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=CE32DD15-15E1-4729-94FD-FF1D7250D836,"A Legislative Hearing to Examine S. 2373, the American Nuclear Infrastructure Act of 2021, and S. 1290, the STRANDED Act of 2021",,Enviroment,2022-03-24,"['David Knabel', 'Armond Cohen', 'Maria Korsnick', 'Jeremy Harrell', '']","['https://www.epw.senate.gov/public/_cache/files/e/b/eb2546ad-1914-4c32-af00-6f0015e44978/60BDA9F13FA06BE2881303E008BCFA73.02-09-2022-knabel-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/7/d/7d61b0bd-54c4-4aa5-9f81-3ae14fc5f51b/0E3D94C6AE62D145E8FB672CA7C17B68.02-09-2022-cohen-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/1/c/1ca4be48-6e86-48fe-8258-971c50d90f08/1F61223231D98579638E57789A82EAFB.02-09-2022-korsnick-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/f/3/f3ea4b59-1a8d-4dbf-81ed-93b24370ae21/CCDC14C6FF640E34E53F798AD4B55D07.02-09-2022-harrell-testimony.pdf', '']","[('David Knabel', 'https://www.epw.senate.gov/public/_cache/files/e/b/eb2546ad-1914-4c32-af00-6f0015e44978/60BDA9F13FA06BE2881303E008BCFA73.02-09-2022-knabel-testimony.pdf'), ('Armond Cohen', 'https://www.epw.senate.gov/public/_cache/files/7/d/7d61b0bd-54c4-4aa5-9f81-3ae14fc5f51b/0E3D94C6AE62D145E8FB672CA7C17B68.02-09-2022-cohen-testimony.pdf'), ('Maria Korsnick', 'https://www.epw.senate.gov/public/_cache/files/1/c/1ca4be48-6e86-48fe-8258-971c50d90f08/1F61223231D98579638E57789A82EAFB.02-09-2022-korsnick-testimony.pdf'), ('Jeremy Harrell', 'https://www.epw.senate.gov/public/_cache/files/f/3/f3ea4b59-1a8d-4dbf-81ed-93b24370ae21/CCDC14C6FF640E34E53F798AD4B55D07.02-09-2022-harrell-testimony.pdf'), ('', '')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw020922&auto_play=false,,
6,2/2/22,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=D78048FB-6456-4E91-BC99-AFDD71E61E91,Legislative Proposals to Improve Domestic Recycling and Composting Programs,,Enviroment,2022-03-24,"['Rhodes Yepsen', 'Pashon Murray', 'Benjamin Harvey', 'Charles Levell Hairston', '']","['https://www.epw.senate.gov/public/_cache/files/8/e/8ee44221-f063-424a-900e-a4a5cab0b67b/40238366E52D93F6F0051EA9B25C6A75.02-02-2022-yepsen-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/6/5/65dde045-fd15-4aa2-8fa2-bbf2c659cacc/0FC367447B231DD2D2D61558FECF5F93.02-02-2022-murray-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/3/f/3fc0ebab-48c7-4dda-95ea-56c058dbe6f9/F7F0CD153B6635D28797F965C2380EED.02-02-2022-harvey-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/a/0/a08e5fbb-7c99-4505-8a7e-9edfb74f97d4/AA0E423356822D7286CCE99C2FFA298D.02-02-2022-hairston-testimony.pdf', '']","[('Rhodes Yepsen', 'https://www.epw.senate.gov/public/_cache/files/8/e/8ee44221-f063-424a-900e-a4a5cab0b67b/40238366E52D93F6F0051EA9B25C6A75.02-02-2022-yepsen-testimony.pdf'), ('Pashon Murray', 'https://www.epw.senate.gov/public/_cache/files/6/5/65dde045-fd15-4aa2-8fa2-bbf2c659cacc/0FC367447B231DD2D2D61558FECF5F93.02-02-2022-murray-testimony.pdf'), ('Benjamin Harvey', 'https://www.epw.senate.gov/public/_cache/files/3/f/3fc0ebab-48c7-4dda-95ea-56c058dbe6f9/F7F0CD153B6635D28797F965C2380EED.02-02-2022-harvey-testimony.pdf'), ('Charles Levell Hairston', 'https://www.epw.senate.gov/public/_cache/files/a/0/a08e5fbb-7c99-4505-8a7e-9edfb74f97d4/AA0E423356822D7286CCE99C2FFA298D.02-02-2022-hairston-testimony.pdf'), ('', '')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw020222&auto_play=false,,
7,1/12/22,2:45 PM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=6A280AE4-5D19-401F-BF83-A7DE5B6F7EDF,"Committee Business Meeting & Water Resources Development Act Oversight: USACE Implementation of Water Infrastructure Projects, Programs and Priorities",,Enviroment,2022-03-24,"['Michael Connor', 'Lieutenant General Scott Spellmon', '', '']","['https://www.epw.senate.gov/public/_cache/files/3/5/3596b123-2d78-4289-9ac7-9e74b5aedf40/E126D500014196035DD25BE108882752.01-12-2022-connor-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/f/9/f92dd8fe-4df8-453a-9f3c-46f7830482f1/35296BE4EA896D7ECFAA70D2A011C9A0.01-12-2022-spellmon-testimony.pdf', '', '']","[('Michael Connor', 'https://www.epw.senate.gov/public/_cache/files/3/5/3596b123-2d78-4289-9ac7-9e74b5aedf40/E126D500014196035DD25BE108882752.01-12-2022-connor-testimony.pdf'), ('Lieutenant General Scott Spellmon', 'https://www.epw.senate.gov/public/_cache/files/f/9/f92dd8fe-4df8-453a-9f3c-46f7830482f1/35296BE4EA896D7ECFAA70D2A011C9A0.01-12-2022-spellmon-testimony.pdf'), ('', ''), ('', '')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw011222&auto_play=false,,
8,12/8/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=E55D32F0-A010-460B-9F50-A04A1F4DD1D5,"A Legislative Hearing to Examine S. 2372, The Recovering America’s Wildlife Act",,Enviroment,2022-03-24,"['Martin Heinrich', 'Roy Blunt', 'Dan Ashe', ""Collin O'Mara"", 'Sara Parker Pauley', 'Jonathan Wood', '']","['https://www.epw.senate.gov/public/_cache/files/0/c/0cb5fa94-c782-407f-a093-f9920be83adf/BC3C25F8409CB8FC97FEF43DE910AC4F.12-08-2021-senator-heinrich-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/d/4/d4e3c58a-92c9-4887-b032-023534587b63/3FFA11BE294BFC62E2515B4A26A12EFD.12-08-2021-senator-blunt-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/4/b/4b510efc-4259-4fac-8009-442591e6dbe3/C6498B8801F565539F1098509BAF31C2.12-08-2021-ashe-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/1/9/19c79b85-3218-45b1-aedf-befc588aec45/BE9AB1BFFD4B07B1D58D2BC6FA13A6BB.12-08-2021-o-mara-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/e/2/e270e5bd-74a9-4571-92c0-7c2bb5387805/CDB1235ABD40E0B8F6953ACE45504143.12-08-2021-pauley-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/d/1/d1127b30-4ef8-409e-85d1-3567b56fd313/BD61E67710A54C8762F009597F6080B0.12-08-2021-wood-testimony.pdf', '']","[('Martin Heinrich', 'https://www.epw.senate.gov/public/_cache/files/0/c/0cb5fa94-c782-407f-a093-f9920be83adf/BC3C25F8409CB8FC97FEF43DE910AC4F.12-08-2021-senator-heinrich-testimony.pdf'), ('Roy Blunt', 'https://www.epw.senate.gov/public/_cache/files/d/4/d4e3c58a-92c9-4887-b032-023534587b63/3FFA11BE294BFC62E2515B4A26A12EFD.12-08-2021-senator-blunt-testimony.pdf'), ('Dan Ashe', 'https://www.epw.senate.gov/public/_cache/files/4/b/4b510efc-4259-4fac-8009-442591e6dbe3/C6498B8801F565539F1098509BAF31C2.12-08-2021-ashe-testimony.pdf'), (""Collin O'Mara"", 'https://www.epw.senate.gov/public/_cache/files/1/9/19c79b85-3218-45b1-aedf-befc588aec45/BE9AB1BFFD4B07B1D58D2BC6FA13A6BB.12-08-2021-o-mara-testimony.pdf'), ('Sara Parker Pauley', 'https://www.epw.senate.gov/public/_cache/files/e/2/e270e5bd-74a9-4571-92c0-7c2bb5387805/CDB1235ABD40E0B8F6953ACE45504143.12-08-2021-pauley-testimony.pdf'), ('Jonathan Wood', 'https://www.epw.senate.gov/public/_cache/files/d/1/d1127b30-4ef8-409e-85d1-3567b56fd313/BD61E67710A54C8762F009597F6080B0.12-08-2021-wood-testimony.pdf'), ('', '')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw120821&auto_play=false,,
9,12/1/21,9:45 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=B2FBF1B2-5CB1-47B2-B5C8-AD13487C68DD,Business Meeting & Oversight of the Nuclear Regulatory Commission,,Enviroment,2022-03-24,"['Christopher T Hanson', 'Jeff Baran', 'David A Wright', '', '']","['https://www.epw.senate.gov/public/_cache/files/8/7/8793a0ab-cedf-4da0-9e21-f37d70cc1bfd/2D55F5E551D7A6285722F8BAD88B95CB.12-01-2021-hanson-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/2/a/2a5232a2-9b1d-4651-960b-adb8df37ea5e/3F6AF2BF44F7A1E11195C1C6D31F8CF1.12-01-2021-baran-testimony.pdf', 'https://www.epw.senate.gov/public/_cache/files/d/1/d18a45f3-4d6b-4c6a-b054-00ec58f1e3e5/FE42253DA5241D1B9841991508488D1E.12-01-2021-wright-testimony.pdf', '', '']","[('Christopher T Hanson', 'https://www.epw.senate.gov/public/_cache/files/8/7/8793a0ab-cedf-4da0-9e21-f37d70cc1bfd/2D55F5E551D7A6285722F8BAD88B95CB.12-01-2021-hanson-testimony.pdf'), ('Jeff Baran', 'https://www.epw.senate.gov/public/_cache/files/2/a/2a5232a2-9b1d-4651-960b-adb8df37ea5e/3F6AF2BF44F7A1E11195C1C6D31F8CF1.12-01-2021-baran-testimony.pdf'), ('David A Wright', 'https://www.epw.senate.gov/public/_cache/files/d/1/d18a45f3-4d6b-4c6a-b054-00ec58f1e3e5/FE42253DA5241D1B9841991508488D1E.12-01-2021-wright-testimony.pdf'), ('', ''), ('', '')]",https://www.senate.gov/isvp?type=live&comm=epw&filename=epw120121&auto_play=false,,
