,Date,Time,URL,Title,Location,Committee,Date Scraped,video_url,witnesses,transcripts,witness_transcripts,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1
0,05/04/22,,https://www.finance.senate.gov/hearings/laws-and-enforcement-governing-the-political-activities-of-tax-exempt-entities,Laws and Enforcement Governing the Political Activities of Tax Exempt Entities,,Finance,2022-05-17,https://www.finance.senate.gov/hearings/watch?hearingid=37BEA063-5056-A066-6079-72545A92656C,"['Sheldon Whitehouse', 'John Thune', 'Philip Hackney', 'Bradley A. Smith', 'Ann M. Ravel', 'Scott Walter']","['https://www.finance.senate.gov/imo/media/doc/2022-04-27%20Remarks%20-%20Finance%20Dark%20Money%20Hearing%20final.pdf', 'https://www.finance.senate.gov/imo/media/doc/05-04-22%20-%20Senator%20Thune%20Opening%20Remarks%20for%20Tax%20and%20IRS%20Oversight%20Subcommittee%20Hearing.pdf', 'https://www.finance.senate.gov/imo/media/doc/PHackney%20Testimony%20Senate%20Finance%20Political%20Activities%20Tax%20Exempts%20Enforcment%20Laws.pdf', 'https://www.finance.senate.gov/imo/media/doc/2022-05-04_Smith%20Testimony_US%20Senate.pdf', 'https://www.finance.senate.gov/imo/media/doc/Ann%20Ravel%20Testimony.pdf', 'https://www.finance.senate.gov/imo/media/doc/2022%20May%204%20Testimony%20Finance%20Subcom%20IRS.pdf']","[('Sheldon Whitehouse', 'https://www.finance.senate.gov/imo/media/doc/2022-04-27%20Remarks%20-%20Finance%20Dark%20Money%20Hearing%20final.pdf'), ('John Thune', 'https://www.finance.senate.gov/imo/media/doc/05-04-22%20-%20Senator%20Thune%20Opening%20Remarks%20for%20Tax%20and%20IRS%20Oversight%20Subcommittee%20Hearing.pdf'), ('Philip Hackney', 'https://www.finance.senate.gov/imo/media/doc/PHackney%20Testimony%20Senate%20Finance%20Political%20Activities%20Tax%20Exempts%20Enforcment%20Laws.pdf'), ('Bradley A. Smith', 'https://www.finance.senate.gov/imo/media/doc/2022-05-04_Smith%20Testimony_US%20Senate.pdf'), ('Ann M. Ravel', 'https://www.finance.senate.gov/imo/media/doc/Ann%20Ravel%20Testimony.pdf'), ('Scott Walter', 'https://www.finance.senate.gov/imo/media/doc/2022%20May%204%20Testimony%20Finance%20Subcom%20IRS.pdf')]",,,,,,,,,,,,,
1,04/07/22,,https://www.finance.senate.gov/hearings/the-irs-the-presidents-fiscal-year-2023-budget-and-the-2022-filing-season,"The IRS, the President's Fiscal Year 2023 Budget, and the 2022 Filing Season",,Finance,2022-05-17,https://www.finance.senate.gov/hearings/watch?hearingid=D1D02352-5056-A066-6027-F83358C678CE,"['Ron Wyden', 'Mike Crapo', 'Charles P. Rettig']","['https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20Examining%20the%20Presidents%202022%20Trade%20Policy%20Agenda2.pdf', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20IRS%20Budget.pdf', 'https://www.finance.senate.gov/imo/media/doc/IRS%20Commissioner%20CPR%20testimony%20SFC%20filing%20season%20040722%20.pdf']","[('Ron Wyden', 'https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20Examining%20the%20Presidents%202022%20Trade%20Policy%20Agenda2.pdf'), ('Mike Crapo', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20IRS%20Budget.pdf'), ('Charles P. Rettig', 'https://www.finance.senate.gov/imo/media/doc/IRS%20Commissioner%20CPR%20testimony%20SFC%20filing%20season%20040722%20.pdf')]",,,,,,,,,,,,,
2,04/05/22,,https://www.finance.senate.gov/hearings/the-presidents-fiscal-year-2023-health-and-human-services-budget,The President’s Fiscal Year 2023 Health and Human Services Budget,,Finance,2022-05-17,https://www.finance.senate.gov/hearings/watch?hearingid=5D7CBE66-5056-A066-60CD-10A608A9FA51,"['Ron Wyden', 'Mike Crapo', 'Xavier Becerra']","['https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20Examining%20the%20Presidents%202023%20HHS%20Budget%201.pdf', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20HHS%20Budget.pdf', 'https://www.finance.senate.gov/imo/media/doc/HHS%20Sec%20Becerra%20-%20Finance%20Committee%20Testimony%20FY23%20Budget_4.3.2022.pdf']","[('Ron Wyden', 'https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20Examining%20the%20Presidents%202023%20HHS%20Budget%201.pdf'), ('Mike Crapo', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20HHS%20Budget.pdf'), ('Xavier Becerra', 'https://www.finance.senate.gov/imo/media/doc/HHS%20Sec%20Becerra%20-%20Finance%20Committee%20Testimony%20FY23%20Budget_4.3.2022.pdf')]",,,,,,,,,,,,,
3,03/31/22,,https://www.finance.senate.gov/hearings/the-presidents-2022-trade-policy-agenda,The President’s 2022 Trade Policy Agenda,,Finance,2022-05-17,https://www.finance.senate.gov/hearings/watch?hearingid=6BBA3DAB-5056-A066-60D6-409488337221,"['Ron Wyden', 'Mike Crapo', 'Katherine C. Tai']","['https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20Examining%20the%20Presidents%202022%20Trade%20Policy%20Agenda.pdf', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20U.S.%20Trade%20Agenda.pdf', 'https://www.finance.senate.gov/imo/media/doc/USTR%202022%20Trade%20Policy%20Agenda%20Hearing%20-%20Testimony%20SFC1.pdf']","[('Ron Wyden', 'https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20Examining%20the%20Presidents%202022%20Trade%20Policy%20Agenda.pdf'), ('Mike Crapo', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20U.S.%20Trade%20Agenda.pdf'), ('Katherine C. Tai', 'https://www.finance.senate.gov/imo/media/doc/USTR%202022%20Trade%20Policy%20Agenda%20Hearing%20-%20Testimony%20SFC1.pdf')]",,,,,,,,,,,,,
4,03/30/22,,https://www.finance.senate.gov/hearings/behavioral-health-care-when-americans-need-it-ensuring-parity-and-care-integration,Behavioral Health Care When Americans Need It: Ensuring Parity and Care Integration,,Finance,2022-05-17,https://www.finance.senate.gov/hearings/watch?hearingid=2F770C79-5056-A066-60DE-CF08D9E2E7D9,"['Ron Wyden', 'Mike Crapo', 'John Dicken', 'Andy Keller', 'Anna Ratzliff', 'Reginald D. Williams II']","['https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20Examining%20Barriers%20to%20Mental%20Health%20Care%203.30.222.pdf', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20Mental%20Health_033022.pdf', 'https://www.finance.senate.gov/imo/media/doc/John%20Dicken%20Written%20Testimony.pdf', 'https://www.finance.senate.gov/imo/media/doc/US%20Senate%20Finance%20Committee%20-%20Meadows%20Institute%20Testimony%20-%202022-03-30%20Final.pdf', 'https://www.finance.senate.gov/imo/media/doc/2022-03-28-Ratzliff%20Testimony%20for%20Finance%20Integrated%20Care%20Parity%20Workforce%20Hearing.pdf', 'https://www.finance.senate.gov/imo/media/doc/Williams%203.30%20SFC%20Testimony.pdf']","[('Ron Wyden', 'https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20Examining%20Barriers%20to%20Mental%20Health%20Care%203.30.222.pdf'), ('Mike Crapo', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20Mental%20Health_033022.pdf'), ('John Dicken', 'https://www.finance.senate.gov/imo/media/doc/John%20Dicken%20Written%20Testimony.pdf'), ('Andy Keller', 'https://www.finance.senate.gov/imo/media/doc/US%20Senate%20Finance%20Committee%20-%20Meadows%20Institute%20Testimony%20-%202022-03-30%20Final.pdf'), ('Anna Ratzliff', 'https://www.finance.senate.gov/imo/media/doc/2022-03-28-Ratzliff%20Testimony%20for%20Finance%20Integrated%20Care%20Parity%20Workforce%20Hearing.pdf'), ('Reginald D. Williams II', 'https://www.finance.senate.gov/imo/media/doc/Williams%203.30%20SFC%20Testimony.pdf')]",,,,,,,,,,,,,
5,03/17/22,,https://www.finance.senate.gov/hearings/examining-charitable-giving-and-trends-in-the-nonprofit-sector,Examining Charitable Giving and Trends in the Nonprofit Sector,,Finance,2022-05-17,https://www.finance.senate.gov/hearings/watch?hearingid=8C53082A-5056-A066-606A-37753598DB04,"['Ron Wyden', 'Mike Crapo', 'Daniel Cardinali', 'Susannah Morgan', 'Una Osili', 'C. Eugene Steuerle']","['https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20on%20Examining%20Charitable%20Giving%20Trends%20in%20the%20Nonprofit%20Sector2.pdf', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20Charitable%20Giving.pdf', 'https://www.finance.senate.gov/imo/media/doc/Cardinali%20Testimony%20-%20Charitable%20Giving%203.17.22.pdf', 'https://www.finance.senate.gov/imo/media/doc/Morgan%20Testimony%20-%20Charitable%20Giving%203.17.22.pdf', 'https://www.finance.senate.gov/imo/media/doc/Osili%20Testimony%20-%20Charitable%20Giving%203.17.22.pdf', 'https://www.finance.senate.gov/imo/media/doc/Steuerle%20Testimony%20-%20Charitable%20Giving%203.17.22.pdf']","[('Ron Wyden', 'https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20on%20Examining%20Charitable%20Giving%20Trends%20in%20the%20Nonprofit%20Sector2.pdf'), ('Mike Crapo', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20Charitable%20Giving.pdf'), ('Daniel Cardinali', 'https://www.finance.senate.gov/imo/media/doc/Cardinali%20Testimony%20-%20Charitable%20Giving%203.17.22.pdf'), ('Susannah Morgan', 'https://www.finance.senate.gov/imo/media/doc/Morgan%20Testimony%20-%20Charitable%20Giving%203.17.22.pdf'), ('Una Osili', 'https://www.finance.senate.gov/imo/media/doc/Osili%20Testimony%20-%20Charitable%20Giving%203.17.22.pdf'), ('C. Eugene Steuerle', 'https://www.finance.senate.gov/imo/media/doc/Steuerle%20Testimony%20-%20Charitable%20Giving%203.17.22.pdf')]",,,,,,,,,,,,,
6,03/16/22,,https://www.finance.senate.gov/hearings/prescription-drug-price-inflation-an-urgent-need-to-lower-drug-prices-in-medicare,Prescription Drug Price Inflation: An Urgent Need to Lower Drug Prices in Medicare,,Finance,2022-05-17,https://www.finance.senate.gov/hearings/watch?hearingid=6350B05D-5056-A066-60BD-2DC22BC1BD0B,"['Ron Wyden', 'Mike Crapo', 'Rena M. Conti', 'Douglas Holtz-Eakin', 'Stephen Ezell', 'Steffany Stern M.P.P.']","['https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20on%20the%20Prescription%20Drug%20Price%20Inflation-%20An%20Urgent%20Need%20to%20Lower%20Drug%20Prices.pdf', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20Prescription%20Drug%20Pricing.pdf', 'https://www.finance.senate.gov/imo/media/doc/Conti%20SFC%20Final%20Testimony.pdf', 'https://www.finance.senate.gov/imo/media/doc/DHE%20SFC%20Testimony%20BBBA%20Drug%20Policies.pdf', 'https://www.finance.senate.gov/imo/media/doc/Senate%20Finance%20Committee%20Drug%20Pricing%20Testimony%20-%20FINAL%20MARCH%2014,%202022.pdf', 'https://www.finance.senate.gov/imo/media/doc/Stern%20Testimony%20031322.pdf']","[('Ron Wyden', 'https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20on%20the%20Prescription%20Drug%20Price%20Inflation-%20An%20Urgent%20Need%20to%20Lower%20Drug%20Prices.pdf'), ('Mike Crapo', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20Prescription%20Drug%20Pricing.pdf'), ('Rena M. Conti', 'https://www.finance.senate.gov/imo/media/doc/Conti%20SFC%20Final%20Testimony.pdf'), ('Douglas Holtz-Eakin', 'https://www.finance.senate.gov/imo/media/doc/DHE%20SFC%20Testimony%20BBBA%20Drug%20Policies.pdf'), ('Stephen Ezell', 'https://www.finance.senate.gov/imo/media/doc/Senate%20Finance%20Committee%20Drug%20Pricing%20Testimony%20-%20FINAL%20MARCH%2014,%202022.pdf'), ('Steffany Stern M.P.P.', 'https://www.finance.senate.gov/imo/media/doc/Stern%20Testimony%20031322.pdf')]",,,,,,,,,,,,,
7,03/15/22,,https://www.finance.senate.gov/hearings/the-promise-and-challenge-of-strategic-trade-engagement-in-the-indo-pacific-region,The Promise and Challenge of Strategic Trade Engagement in the Indo-Pacific Region,,Finance,2022-05-17,https://www.finance.senate.gov/hearings/watch?hearingid=2DF7A3A2-5056-A066-6020-712E4903B157,"['Ron Wyden', 'Mike Crapo', 'Sharon Bomer Lauritsen', 'Emma Llansó', 'Kelly Ann Shaw', 'Michael Wessel']","['https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20on%20the%20Promise%20and%20Challenge%20of%20Strategic%20Trade%20Engagement%20in%20the%20Indo-Pacific%20Region.pdf', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20Strategic%20Trade%20Engagement%20in%20the%20Indo-Pacific%20Region.pdf', 'https://www.finance.senate.gov/imo/media/doc/Bomer%20Lauritsen%20Testimony%203.15.2022.pdf', 'https://www.finance.senate.gov/imo/media/doc/CDT%20Senate%20Finance%20Committee%20Testimony%2015%20March%202022.pdf', 'https://www.finance.senate.gov/imo/media/doc/Shaw.Testimony.SFC.Mar15.2022.fin.pdf', 'https://www.finance.senate.gov/imo/media/doc/Wessel%20-%20Senate%20Finance%20-%20IPEF%20-%20March%2015%202022%20-%20FINAL.pdf']","[('Ron Wyden', 'https://www.finance.senate.gov/imo/media/doc/Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20on%20the%20Promise%20and%20Challenge%20of%20Strategic%20Trade%20Engagement%20in%20the%20Indo-Pacific%20Region.pdf'), ('Mike Crapo', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Hearing%20on%20Strategic%20Trade%20Engagement%20in%20the%20Indo-Pacific%20Region.pdf'), ('Sharon Bomer Lauritsen', 'https://www.finance.senate.gov/imo/media/doc/Bomer%20Lauritsen%20Testimony%203.15.2022.pdf'), ('Emma Llansó', 'https://www.finance.senate.gov/imo/media/doc/CDT%20Senate%20Finance%20Committee%20Testimony%2015%20March%202022.pdf'), ('Kelly Ann Shaw', 'https://www.finance.senate.gov/imo/media/doc/Shaw.Testimony.SFC.Mar15.2022.fin.pdf'), ('Michael Wessel', 'https://www.finance.senate.gov/imo/media/doc/Wessel%20-%20Senate%20Finance%20-%20IPEF%20-%20March%2015%202022%20-%20FINAL.pdf')]",,,,,,,,,,,,,
8,03/02/22,,https://www.finance.senate.gov/hearings/continuation-of-the-open-executive-session-to-consider-favorably-reporting-the-nominations-of-robert-michael-gordon-of-the-district-of-columbia-to-be-an-assistant-secretary-of-health-and-human-services-january-contreras-of-arizona-to-be-assistant-secretary-for-family-support-department-of-health-and-human-services-and-rebecca-e-jones-gaston-of-oregon-to-be-commissioner-on-children-youth-and-families-department-of-health-and-human-services,"Continuation of the Open Executive Session to Consider Favorably Reporting the Nominations of Robert Michael Gordon, of the District of Columbia, to be an Assistant Secretary of Health and Human Services, January Contreras, of Arizona, to be Assistant Secretary for Family Support, Department of Health and Human Services, and Rebecca E. Jones Gaston, of Oregon, to be Commissioner on Children, Youth, and Families, Department of Health and Human Services",,Finance,2022-05-17,https://www.finance.senate.gov,[],[],[],,,,,,,,,,,,,
9,03/01/22,,https://www.finance.senate.gov/hearings/open-executive-session-to-consider-favorably-reporting-the-nominations-of-robert-michael-gordon-of-the-district-of-columbia-to-be-an-assistant-secretary-of-health-and-human-services-january-contreras-of-arizona-to-be-assistant-secretary-for-family-support-department-of-health-and-human-services-and-rebecca-e-jones-gaston-of-oregon-to-be-commissioner-on-children-youth-and-families-department-of-health-and-human-services,"Open Executive Session to Consider Favorably Reporting the Nominations of Robert Michael Gordon, of the District of Columbia, to be an Assistant Secretary of Health and Human Services, January Contreras, of Arizona, to be Assistant Secretary for Family Support, Department of Health and Human Services, and Rebecca E. Jones Gaston, of Oregon, to be Commissioner on Children, Youth, and Families, Department of Health and Human Services",,Finance,2022-05-17,https://www.finance.senate.gov/hearings/watch?hearingid=BE3B15C0-5056-A066-6011-3BF069E54FB7,"['Ron Wyden', 'Mike Crapo']","['https://www.finance.senate.gov/imo/media/doc/3.1.22%20Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20on%20HHS%20Nominees.pdf', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Executive%20Session%20to%20Vote%20on%20HHS%20Nominees_030122.pdf']","[('Ron Wyden', 'https://www.finance.senate.gov/imo/media/doc/3.1.22%20Wyden%20Statement%20at%20Finance%20Committee%20Hearing%20on%20HHS%20Nominees.pdf'), ('Mike Crapo', 'https://www.finance.senate.gov/imo/media/doc/Crapo%20Statement%20at%20Executive%20Session%20to%20Vote%20on%20HHS%20Nominees_030122.pdf')]",,,,,,,,,,,,,
