,Date,Time,URL,Title,Location,Committee,Date Scraped,video_url,witnesses,transcripts,witness_transcripts
0,04/06/2022,2:30 PM,https://www.indian.senate.gov//hearing/business-meeting-consider-s-3123-s-3126-s-3273-hr-1975-hr-4881,"Business Meeting to consider S. 3123, S. 3126, S. 3273, H.R. 1975 & H.R. 4881",Dirksen-628,Indian Affairs,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=indian&filename=indian040622&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', '']","['', '', '', '', '', '']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', '')]"
1,03/23/2022,2:30 PM,https://www.indian.senate.gov//hearing/legislative-hearing-receive-testimony-s-1397-s-3168-s-3308-s-3443-s-3773-s-3789,"Legislative Hearing to receive testimony on S. 1397, S. 3168, S. 3308, S. 3443, S. 3773 & S. 3789",DIrksen-628,Indian Affairs,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=indian&filename=indian032322&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', '', 'Bryan Newland', 'Marvin Figueroa', 'Gwendena Lee-Gatewood', 'Amelia Flores', 'Harry Pickernell, Sr.', 'Lebaron Byrd', 'Darin Prescott']","['', '', '', '', '', '', 'https://www.indian.senate.gov/sites/default/files/03.23.2022%20SCIA%20Legislative%20Hearing%20Testimony%20%28CLEARED%29.pdf', 'https://www.indian.senate.gov/sites/default/files/HHS%20IEA%20testimony%20SCIA%20leg%20hearing%203-23-22.pdf', 'https://www.indian.senate.gov/sites/default/files/FINAL%20SCIA%20Written%20Testimony%20WMAT_Hon.%20Gwendena%20Lee-Gatewood.pdf', 'https://www.indian.senate.gov/sites/default/files/2022.3.20%20SCIA%20S.3308%20oral%20Testimony_Chairwoman%20Flores.pdf', 'https://www.indian.senate.gov/sites/default/files/Chehalis%20Prepared%20Statement%20on%20S.3773.pdf', 'https://www.indian.senate.gov/sites/default/files/MOWA%20hearing%20testimony%2003-23-22%20FINAL.pdf', 'https://www.indian.senate.gov/sites/default/files/Written%20TESTIMONY%20OF%20Darin%20Prescott%20S.%201397.pdf']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('Bryan Newland', 'https://www.indian.senate.gov/sites/default/files/03.23.2022%20SCIA%20Legislative%20Hearing%20Testimony%20%28CLEARED%29.pdf'), ('Marvin Figueroa', 'https://www.indian.senate.gov/sites/default/files/HHS%20IEA%20testimony%20SCIA%20leg%20hearing%203-23-22.pdf'), ('Gwendena Lee-Gatewood', 'https://www.indian.senate.gov/sites/default/files/FINAL%20SCIA%20Written%20Testimony%20WMAT_Hon.%20Gwendena%20Lee-Gatewood.pdf'), ('Amelia Flores', 'https://www.indian.senate.gov/sites/default/files/2022.3.20%20SCIA%20S.3308%20oral%20Testimony_Chairwoman%20Flores.pdf'), ('Harry Pickernell, Sr.', 'https://www.indian.senate.gov/sites/default/files/Chehalis%20Prepared%20Statement%20on%20S.3773.pdf'), ('Lebaron Byrd', 'https://www.indian.senate.gov/sites/default/files/MOWA%20hearing%20testimony%2003-23-22%20FINAL.pdf'), ('Darin Prescott', 'https://www.indian.senate.gov/sites/default/files/Written%20TESTIMONY%20OF%20Darin%20Prescott%20S.%201397.pdf')]"
2,03/16/2022,4:00 PM,https://www.indian.senate.gov//hearing/oversight-hearing-buy-native-american-federal-support-native-business-capacity-building-and,"Oversight Hearing “Buy Native American: Federal Support for Native Business Capacity Building and Success""",Dirksen-628,Indian Affairs,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=indian&filename=indian031622&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', 'Wizipan Garriott', 'Janie Hipp', 'Wahleah Johns', 'Lexie Holden', 'JT Willie', 'J. Kukui Maunakea-Forth', 'Gary Hennigh']","['', '', '', '', '', 'https://www.indian.senate.gov/sites/default/files/03.16.2022%20DOI%20SCIA%20Testimony%20%28CLEARED%29.pdf', 'https://www.indian.senate.gov/sites/default/files/3.16.2022%20Janie%20Simms%20Hipp_USDA_%20Testimony%20FINAL.pdf', 'https://www.indian.senate.gov/sites/default/files/3.16.22%20SCIA%20IE%20Wahleah%20Johns_DOE_%20Final%20Testimony%20.pdf', 'https://www.indian.senate.gov/sites/default/files/03-16-2022%20-%20SCIA%20Hearing%20on%20Buy%20Native%20American%20Written%20Testimony%20-%20IAC.pdf', 'https://www.indian.senate.gov/sites/default/files/NNDED_Director%20JT%20Willie_Written%20Testimony.pdf', 'https://www.indian.senate.gov/sites/default/files/MA%CA%BBO%20Testimony%20for%20Committee%20on%20Indian%20Affairs-%20Testimony%20ag%20%20%20clean%20energy.pdf', 'https://www.indian.senate.gov/sites/default/files/Gary%20Hennigh_City%20Administrator_Indian%20Affairs%20Testimony.pdf']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('Wizipan Garriott', 'https://www.indian.senate.gov/sites/default/files/03.16.2022%20DOI%20SCIA%20Testimony%20%28CLEARED%29.pdf'), ('Janie Hipp', 'https://www.indian.senate.gov/sites/default/files/3.16.2022%20Janie%20Simms%20Hipp_USDA_%20Testimony%20FINAL.pdf'), ('Wahleah Johns', 'https://www.indian.senate.gov/sites/default/files/3.16.22%20SCIA%20IE%20Wahleah%20Johns_DOE_%20Final%20Testimony%20.pdf'), ('Lexie Holden', 'https://www.indian.senate.gov/sites/default/files/03-16-2022%20-%20SCIA%20Hearing%20on%20Buy%20Native%20American%20Written%20Testimony%20-%20IAC.pdf'), ('JT Willie', 'https://www.indian.senate.gov/sites/default/files/NNDED_Director%20JT%20Willie_Written%20Testimony.pdf'), ('J. Kukui Maunakea-Forth', 'https://www.indian.senate.gov/sites/default/files/MA%CA%BBO%20Testimony%20for%20Committee%20on%20Indian%20Affairs-%20Testimony%20ag%20%20%20clean%20energy.pdf'), ('Gary Hennigh', 'https://www.indian.senate.gov/sites/default/files/Gary%20Hennigh_City%20Administrator_Indian%20Affairs%20Testimony.pdf')]"
3,02/24/2022,2:00 PM,https://www.indian.senate.gov//hearing/oversight-field-hearing-titled-transformative-and-innovative-strategies-better-educational,Oversight Field Hearing titled “Transformative and Innovative Strategies for Better Educational Outcomes for Alaska Native Students”,"Alaska Pacific University, 4101 University Drive, Anchorage, AK-CH2MHill Board Room",Indian Affairs,2022-07-20,https://www.senate.gov/isvp/test/?type=arch&comm=indian&filename=indian022422&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', '', '', '', 'Julie Kitka', 'Sandy Salaktuna Kowalski', 'William Naneng', 'Michael Johnson']","['', '', '', '', '', '', '', '', 'https://www.indian.senate.gov/sites/default/files/021922%20AFN%20President%20Julie%20Kitka%20Testimony%20for%20SCIA%20Field%20Hearing.pdf', 'https://www.indian.senate.gov/sites/default/files/Sandra%20Kowalski%20Testimony.pdf', 'https://www.indian.senate.gov/sites/default/files/William%20Naneng_2022_02_21_21_04_23.pdf', 'https://www.indian.senate.gov/sites/default/files/22.2.21%20Commissioner%20Michael%20Johnson%20Testimony%20SCIA%20Field%20Hearing.pdf']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('Julie Kitka', 'https://www.indian.senate.gov/sites/default/files/021922%20AFN%20President%20Julie%20Kitka%20Testimony%20for%20SCIA%20Field%20Hearing.pdf'), ('Sandy Salaktuna Kowalski', 'https://www.indian.senate.gov/sites/default/files/Sandra%20Kowalski%20Testimony.pdf'), ('William Naneng', 'https://www.indian.senate.gov/sites/default/files/William%20Naneng_2022_02_21_21_04_23.pdf'), ('Michael Johnson', 'https://www.indian.senate.gov/sites/default/files/22.2.21%20Commissioner%20Michael%20Johnson%20Testimony%20SCIA%20Field%20Hearing.pdf')]"
4,02/16/2022,2:30 PM,https://www.indian.senate.gov//hearing/business-meeting-consider-s-2264-legislative-hearing-receive-testimony-s-3123-s-3126-s-3273,"Business Meeting to consider S. 2264 &  Legislative Hearing to receive testimony on S. 3123, S. 3126, S. 3273 & S. 3381",DIrksen-628,Indian Affairs,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=indian&filename=indian021622&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', '', '', 'Kathryn Isom-Clause', 'Delores Pigsley', 'Cheryle Kennedy', 'Reid Milanovich', 'Sharon Vogel']","['', '', '', '', '', '', '', 'https://www.indian.senate.gov/sites/default/files/SCIA%20Testimony%2002.16.2022%20-%20Cleared.pdf', 'https://www.indian.senate.gov/sites/default/files/2022-02%20Siletz%20testimony%20-%20FINAL.pdf', 'https://www.indian.senate.gov/sites/default/files/Statement%20of%20Chairwoman%20Cheryle%20Kennedy%20re%20S.%203126%20FINAL%202-16-2022.pdf', 'https://www.indian.senate.gov/sites/default/files/Agua%20Caliente%20Vice%20Chairman%20Reid%20Milanovich%20Testimony%2002.16.2022.pdf', 'https://www.indian.senate.gov/sites/default/files/Testimony%20of%20Sharon%20Vogel%20on%20S.%203381%20FINAL.pdf']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('Kathryn Isom-Clause', 'https://www.indian.senate.gov/sites/default/files/SCIA%20Testimony%2002.16.2022%20-%20Cleared.pdf'), ('Delores Pigsley', 'https://www.indian.senate.gov/sites/default/files/2022-02%20Siletz%20testimony%20-%20FINAL.pdf'), ('Cheryle Kennedy', 'https://www.indian.senate.gov/sites/default/files/Statement%20of%20Chairwoman%20Cheryle%20Kennedy%20re%20S.%203126%20FINAL%202-16-2022.pdf'), ('Reid Milanovich', 'https://www.indian.senate.gov/sites/default/files/Agua%20Caliente%20Vice%20Chairman%20Reid%20Milanovich%20Testimony%2002.16.2022.pdf'), ('Sharon Vogel', 'https://www.indian.senate.gov/sites/default/files/Testimony%20of%20Sharon%20Vogel%20on%20S.%203381%20FINAL.pdf')]"
5,02/02/2022,2:30 PM,https://www.indian.senate.gov//hearing/oversight-hearing-long-journey-home-advancing-native-american-graves-protection-and,"Oversight Hearing ""The Long Journey Home: Advancing the Native American Graves Protection and Repatriation Act’s Promise After 30 Years of Practice”",DIrksen-628,Indian Affairs,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=indian&filename=indian020222&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', 'Joy Beasley', 'Anna Maria Ortiz', 'Carmen Hulu Lindsey', 'Valerie Grussing', 'Rosita Worl']","['', '', '', '', '', 'https://www.indian.senate.gov/sites/default/files/DOI%20NAGPRA%202.2%20SCIA%20Oversight%20Hearing%20CLEARED_0.pdf', 'https://www.indian.senate.gov/sites/default/files/GAO_Anna%20Maria%20Ortiz_22-105685_2-2-2022.pdf', 'https://www.indian.senate.gov/sites/default/files/02.02.22%20OHA%20SCIA%20Oversight%20Hearing%20Testimony.pdf', 'https://www.indian.senate.gov/sites/default/files/NATHPO%20Written%20Testimony%20NAGPRA%20SCIA%201.31.2022.pdf', 'https://www.indian.senate.gov/sites/default/files/Worl%20Testimony%20Senate%20Committee%20on%20Indian%20Affairs%20Feb%202%202022.pdf']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('Joy Beasley', 'https://www.indian.senate.gov/sites/default/files/DOI%20NAGPRA%202.2%20SCIA%20Oversight%20Hearing%20CLEARED_0.pdf'), ('Anna Maria Ortiz', 'https://www.indian.senate.gov/sites/default/files/GAO_Anna%20Maria%20Ortiz_22-105685_2-2-2022.pdf'), ('Carmen Hulu Lindsey', 'https://www.indian.senate.gov/sites/default/files/02.02.22%20OHA%20SCIA%20Oversight%20Hearing%20Testimony.pdf'), ('Valerie Grussing', 'https://www.indian.senate.gov/sites/default/files/NATHPO%20Written%20Testimony%20NAGPRA%20SCIA%201.31.2022.pdf'), ('Rosita Worl', 'https://www.indian.senate.gov/sites/default/files/Worl%20Testimony%20Senate%20Committee%20on%20Indian%20Affairs%20Feb%202%202022.pdf')]"
6,01/12/2022,2:30 PM,https://www.indian.senate.gov//hearing/roundtable-discussion-closing-digital-divide-native-communities-through-infrastructure,Roundtable discussion on “Closing the Digital Divide in Native Communities through Infrastructure Investment”,DIrksen-628,Indian Affairs,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=indian&filename=indian011222&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', 'Manuel Heart', 'William Smith', 'Walter W. Haase, P.E.,', 'Carrie L. Billy', 'Matthew Rantanen', 'Donavan Kealoha', 'Hallie Bissett']","['', '', '', '', '', '', '', '', '', '', '', '']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('Manuel Heart', ''), ('William Smith', ''), ('Walter W. Haase, P.E.,', ''), ('Carrie L. Billy', ''), ('Matthew Rantanen', ''), ('Donavan Kealoha', ''), ('Hallie Bissett', '')]"
7,12/08/2021,2:30 PM,https://www.indian.senate.gov//hearing/oversight-hearing-restoring-justice-addressing-violence-native-communities-through-vawa,Oversight Hearing “Restoring Justice: Addressing Violence in Native Communities through VAWA Title IX Special Jurisdiction”,Dirksen-628,Indian Affairs,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=indian&filename=indian120821&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', '', 'Allison Randall', 'Wizipan Little Elk Garriott', 'J. Michael Chavarria', 'Fawn Sharp', 'Stacie Fourstar', 'Elizabeth A. Reese', 'Michelle Demmert']","['', '', '', '', '', '', 'https://www.indian.senate.gov/sites/default/files/DOJ%20Statement%20for%20SCIA%20VAWA%20Hearing%2012.8.21.pdf', 'https://www.indian.senate.gov/sites/default/files/12.8.21%20SCIA%20Testimony-VAWA%20SDVCJ%20Oversight%20Hearing%20%28CLEARED%29.pdf', 'https://www.indian.senate.gov/sites/default/files/Written%20Testimony%20-%20Santa%20Clara%20Pueblo%20Gov.%20Chavarria%20for%20SCIA%20VAWA%20Title%20IX%20Special%20Jurisdiction%20Hearing.pdf', 'https://www.indian.senate.gov/sites/default/files/12-6-2021%20NCAI%20Written%20Testimony%20to%20SCIA%20re%20December%208%2C%202021%20VAWA%20Oversight%20Hearing%20-%20Final_Hon.%20Fawn%20Sharp.pdf', 'https://www.indian.senate.gov/sites/default/files/SCIA%20Testimony%20of%20Chief%20Judge%20FourStar.pdf', 'https://www.indian.senate.gov/sites/default/files/Professor%20Reese_Dec%208%20Tribal%20VAWA%20Hearing%20Testimony.pdf', 'https://www.indian.senate.gov/sites/default/files/AKNWRC%20Testimony%20for%2012-8-2021%20SCIA.pdf']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('Allison Randall', 'https://www.indian.senate.gov/sites/default/files/DOJ%20Statement%20for%20SCIA%20VAWA%20Hearing%2012.8.21.pdf'), ('Wizipan Little Elk Garriott', 'https://www.indian.senate.gov/sites/default/files/12.8.21%20SCIA%20Testimony-VAWA%20SDVCJ%20Oversight%20Hearing%20%28CLEARED%29.pdf'), ('J. Michael Chavarria', 'https://www.indian.senate.gov/sites/default/files/Written%20Testimony%20-%20Santa%20Clara%20Pueblo%20Gov.%20Chavarria%20for%20SCIA%20VAWA%20Title%20IX%20Special%20Jurisdiction%20Hearing.pdf'), ('Fawn Sharp', 'https://www.indian.senate.gov/sites/default/files/12-6-2021%20NCAI%20Written%20Testimony%20to%20SCIA%20re%20December%208%2C%202021%20VAWA%20Oversight%20Hearing%20-%20Final_Hon.%20Fawn%20Sharp.pdf'), ('Stacie Fourstar', 'https://www.indian.senate.gov/sites/default/files/SCIA%20Testimony%20of%20Chief%20Judge%20FourStar.pdf'), ('Elizabeth A. Reese', 'https://www.indian.senate.gov/sites/default/files/Professor%20Reese_Dec%208%20Tribal%20VAWA%20Hearing%20Testimony.pdf'), ('Michelle Demmert', 'https://www.indian.senate.gov/sites/default/files/AKNWRC%20Testimony%20for%2012-8-2021%20SCIA.pdf')]"
8,11/17/2021,2:30 PM,https://www.indian.senate.gov//hearing/business-meeting-consider-s-648-legislative-hearing-receive-testimony-s-1364-hr-1975-hr-2088,"Business Meeting to consider S. 648 & Legislative Hearing to receive testimony on S. 1364, H.R. 1975, H.R. 2088 & H.R. 4881",Dirksen-628,Indian Affairs,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=indian&filename=indian111721&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', '', '', '', 'Richard Burr', 'Thom Tillis', 'G. K. Butterfield', 'Darrell Issa', 'Bryan Todd Newland', 'Harvey Godwin, Jr.,', 'Robert Smith', 'Richard Sneed', 'Peter Yucupicio']","['', '', '', '', '', '', '', '', '', '', '', '', 'https://www.indian.senate.gov/sites/default/files/SCIA%20Testimony%20Re%20S.%201364%20HR%201975%20HR%202088%20and%20HR%204881%20%28CLEARED%29%20newland.pdf', 'https://www.indian.senate.gov/sites/default/files/Lumbee%20Testimony%20-%20Nov%202021%20%28SCIA%29%2011.15.21%20godwin.pdf', 'https://www.indian.senate.gov/sites/default/files/Testimony%20on%20HR%201975%20to%20Senate%20Committee%20on%20Indian%20Affairs%20101721%20smith.pdf', 'https://www.indian.senate.gov/sites/default/files/EBCI-TVA-hearing%20testimony%20%28Nov%2015%202021%29%20FINAL%20sneed.pdf', 'https://www.indian.senate.gov/sites/default/files/Chairman%20Peter%20Yucupicio%20Pascua%20Yaqui%20Written%20Testimony%20HR%204881%20Old%20Pascua%20Land%20Acquisition%20Act-SCIA_Final_11152021.pdf']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('Richard Burr', ''), ('Thom Tillis', ''), ('G. K. Butterfield', ''), ('Darrell Issa', ''), ('Bryan Todd Newland', 'https://www.indian.senate.gov/sites/default/files/SCIA%20Testimony%20Re%20S.%201364%20HR%201975%20HR%202088%20and%20HR%204881%20%28CLEARED%29%20newland.pdf'), ('Harvey Godwin, Jr.,', 'https://www.indian.senate.gov/sites/default/files/Lumbee%20Testimony%20-%20Nov%202021%20%28SCIA%29%2011.15.21%20godwin.pdf'), ('Robert Smith', 'https://www.indian.senate.gov/sites/default/files/Testimony%20on%20HR%201975%20to%20Senate%20Committee%20on%20Indian%20Affairs%20101721%20smith.pdf'), ('Richard Sneed', 'https://www.indian.senate.gov/sites/default/files/EBCI-TVA-hearing%20testimony%20%28Nov%2015%202021%29%20FINAL%20sneed.pdf'), ('Peter Yucupicio', 'https://www.indian.senate.gov/sites/default/files/Chairman%20Peter%20Yucupicio%20Pascua%20Yaqui%20Written%20Testimony%20HR%204881%20Old%20Pascua%20Land%20Acquisition%20Act-SCIA_Final_11152021.pdf')]"
9,10/27/2021,2:30 PM,https://www.indian.senate.gov//hearing/business-meeting-consider-hr1688-oversight-hearing-voting-matters-native-communities,Business Meeting to consider H.R.1688 & Oversight Hearing on “Voting Matters in Native Communities”,Dirksen-628,Indian Affairs,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=indian&filename=indian102721&auto_play=false&poster=https://www.indian.senate.gov/sites/all/themes/ldsbootstrap/images/Indian-affairs-video-bg.png,"['', '', '', '', '', '', '', 'Janet Davis', 'Aaron Payment', 'Julie Kitka', 'Professor Patty Ferguson-Bohnee', 'Jacqueline De Leon', 'Nā’ālehu Anthony']","['', '', '', '', '', '', '', 'https://www.indian.senate.gov/sites/default/files/Voting%20Rights%20-Chairwoman%20Janet%20Davis%20Testimony%20-%20Oct%202021.pdf', '', 'https://www.indian.senate.gov/sites/default/files/Julie%20Kitka%20testimony_Final.pdf', 'https://www.indian.senate.gov/sites/default/files/PFB_SCIA%20Voting%20Testimony%2010.27.21.pdf', 'https://www.indian.senate.gov/sites/default/files/Written%20Statement%20of%20Jacqueline%20De%20Leon%20Senate%20Committee%20on%20Indian%20Affairs%2010.27.21.pdf', 'https://www.indian.senate.gov/sites/default/files/20211027%20Naalehu%20Anthony%20Voting%20Testimony.pdf']","[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('Janet Davis', 'https://www.indian.senate.gov/sites/default/files/Voting%20Rights%20-Chairwoman%20Janet%20Davis%20Testimony%20-%20Oct%202021.pdf'), ('Aaron Payment', ''), ('Julie Kitka', 'https://www.indian.senate.gov/sites/default/files/Julie%20Kitka%20testimony_Final.pdf'), ('Professor Patty Ferguson-Bohnee', 'https://www.indian.senate.gov/sites/default/files/PFB_SCIA%20Voting%20Testimony%2010.27.21.pdf'), ('Jacqueline De Leon', 'https://www.indian.senate.gov/sites/default/files/Written%20Statement%20of%20Jacqueline%20De%20Leon%20Senate%20Committee%20on%20Indian%20Affairs%2010.27.21.pdf'), ('Nā’ālehu Anthony', 'https://www.indian.senate.gov/sites/default/files/20211027%20Naalehu%20Anthony%20Voting%20Testimony.pdf')]"
