,Date,Time,URL,Title,Location,Committee,Date Scraped,video_url,witnesses,transcripts,witness_transcripts
0,03/23/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-387,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
1,03/22/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-386,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
2,03/16/2022,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-385,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
3,03/15/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-384,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
4,03/10/2022,12:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-worldwide-threats-0,Closed Briefing:  Worldwide Threats,,Intelligence,2022-07-20,,[],[],[]
5,03/10/2022,10:00am,https://www.intelligence.senate.gov//hearings/open-hearing-worldwide-threats-2,Open Hearing:  Worldwide Threats,,Intelligence,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=intel&filename=intel031022&auto_play=false&poster=https%3A%2F%2Fwww%2Eintelligence%2Esenate%2Egov%2Fsites%2Fdefault%2Ffiles%2Fvideo-poster-flash-fit%2Ejpg,"['Avril Haines', 'William J. Burns', 'Lieutenant General Scott D. Berrier', 'General Paul Nakasone', 'Christopher Wray']","['', '', '', '', '']","[('Avril Haines', ''), ('William J. Burns', ''), ('Lieutenant General Scott D. Berrier', ''), ('General Paul Nakasone', ''), ('Christopher Wray', '')]"
6,03/09/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-383,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
7,03/02/2022,3:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-382,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
8,02/16/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-381,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
9,02/15/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-380,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
10,02/09/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-379,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
11,02/08/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-378,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
12,02/02/2022,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-377,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
13,02/01/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-376,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
14,01/19/2022,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-375,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
15,01/12/2022,2:00pm,https://www.intelligence.senate.gov//hearings/open-hearing-nomination-mr-kenneth-wainstein-be-under-secretary-intelligence-and-analysis,"Open Hearing:  Nomination of Mr. Kenneth Wainstein to be Under Secretary for Intelligence and Analysis, Department of Homeland Security",,Intelligence,2022-07-20,https://www.senate.gov/isvp/?type=arch&comm=intel&filename=intel011222&auto_play=false&poster=https%3A%2F%2Fwww%2Eintelligence%2Esenate%2Egov%2Fsites%2Fdefault%2Ffiles%2Fvideo-poster-flash-fit%2Ejpg,['Kenneth Wainstein'],['https://www.intelligence.senate.gov/sites/default/files/documents/os-kwainstein-011222.pdf'],"[('Kenneth Wainstein', 'https://www.intelligence.senate.gov/sites/default/files/documents/os-kwainstein-011222.pdf')]"
16,01/11/2022,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-374,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
17,12/15/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-373,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
18,12/08/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-372,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
19,12/07/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-371,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-20,,[],[],[]
20,12/01/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-370,Closed Briefing:  Intelligence Matters,,Intelligence,2022-07-14,,[],[],[]
21,11/30/2021,2:30pm,https://www.intelligence.senate.gov//hearings/open-hearing-nomination-ms-shannon-corless-be-assistant-secretary-intelligence-and-analysis,"Open Hearing:  Nomination of Ms. Shannon Corless to be the Assistant Secretary for Intelligence and Analysis, Department of the Treasury",,Intelligence,2022-07-14,https://www.senate.gov/isvp/?type=arch&comm=intel&filename=intel113021&auto_play=false&poster=https%3A%2F%2Fwww%2Eintelligence%2Esenate%2Egov%2Fsites%2Fdefault%2Ffiles%2Fvideo-poster-flash-fit%2Ejpg,['Shannon Corless'],['https://www.intelligence.senate.gov/sites/default/files/documents/os-scorless-113021.pdf'],"[('Shannon Corless', 'https://www.intelligence.senate.gov/sites/default/files/documents/os-scorless-113021.pdf')]"
22,11/17/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-369,Closed Briefing:  Intelligence Matters,,Intelligence,2022-06-21,,[],[],[]
23,11/16/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-368,Closed Briefing:  Intelligence Matters,,Intelligence,2022-06-16,,[],[],[]
24,11/02/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-367,Closed Briefing:  Intelligence Matters,,Intelligence,2022-06-09,,[],[],[]
25,10/27/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-366,Closed Briefing:  Intelligence Matters,,Intelligence,2022-06-09,,[],[],[]
26,10/26/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-365,Closed Briefing:  Intelligence Matters,,Intelligence,2022-05-31,,[],[],[]
27,10/20/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-364,Closed Briefing:  Intelligence Matters,,Intelligence,2022-05-24,,[],[],[]
28,10/19/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-363,Closed Briefing:  Intelligence Matters,,Intelligence,2022-05-24,,[],[],[]
29,10/06/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-362,Closed Briefing:  Intelligence Matters,,Intelligence,2022-05-17,,[],[],[]
30,10/05/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-361,Closed Briefing:  Intelligence Matters,,Intelligence,2022-05-17,,[],[],[]
31,09/29/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-360,Closed Briefing:  Intelligence Matters,,Intelligence,2022-05-05,,[],[],[]
32,09/28/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-359,Closed Briefing:  Intelligence Matters,,Intelligence,2022-05-05,,[],[],[]
33,09/22/2021,3:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-358,Closed Briefing:  Intelligence Matters,,Intelligence,2022-04-27,,[],[],[]
34,09/21/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-357,Closed Briefing:  Intelligence Matters,,Intelligence,2022-04-27,,[],[],[]
35,09/14/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-356,Closed Briefing:  Intelligence Matters,,Intelligence,2022-04-13,,[],[],[]
36,08/04/2021,2:45pm,https://www.intelligence.senate.gov//hearings/open-hearing-beijing%E2%80%99s-long-arm-threats-us-national-security,Open Hearing:  Beijing’s Long Arm: Threats to U.S. National Security,,Intelligence,2022-04-05,https://www.senate.gov/isvp/?type=arch&comm=intel&filename=intel080421&auto_play=false&poster=https%3A%2F%2Fwww%2Eintelligence%2Esenate%2Egov%2Fsites%2Fdefault%2Ffiles%2Fvideo-poster-flash-fit%2Ejpg,"['Bill Evanina', 'Anna Puglisi', 'Matt Pottinger']","['https://www.intelligence.senate.gov/sites/default/files/documents/os-bevanina-080421.pdf', 'https://www.intelligence.senate.gov/sites/default/files/documents/os-apuglisi-080421.pdf', 'https://www.intelligence.senate.gov/sites/default/files/documents/os-mpottinger-080421.pdf']","[('Bill Evanina', 'https://www.intelligence.senate.gov/sites/default/files/documents/os-bevanina-080421.pdf'), ('Anna Puglisi', 'https://www.intelligence.senate.gov/sites/default/files/documents/os-apuglisi-080421.pdf'), ('Matt Pottinger', 'https://www.intelligence.senate.gov/sites/default/files/documents/os-mpottinger-080421.pdf')]"
37,08/03/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-355,Closed Briefing:  Intelligence Matters,,Intelligence,2022-04-05,,[],[],[]
38,07/28/2021,2:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-354,Closed Briefing:  Intelligence Matters,,Intelligence,2022-04-05,,[],[],[]
39,07/27/2021,2:30pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-353,Closed Briefing:  Intelligence Matters,,Intelligence,2022-03-23,,[],[],[]
40,07/21/2021,3:00pm,https://www.intelligence.senate.gov//hearings/closed-briefing-intelligence-matters-352,Closed Briefing:  Intelligence Matters,,Intelligence,2022-03-23,,[],[],[]
