,Date,Time,URL,Title,Location,Committee,Date Scraped,video_url,witnesses,transcripts,witness_transcripts,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
0,03/16/2022,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=AC1BE278-DE25-4BD3-B25B-144A2CBF4984,Examining the Impact of Shareholder Primacy: What it Means to Put Stock Prices First,,JEC,2022-04-04,https://www.youtube.com/embed/glWMqkEXDho,"['opening statement', 'Testimony', 'Testimony', 'Testimony', 'Testimony', 'opening statement']","['https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=773FE160-1D5D-4DF7-8AFA-795B53008F7E', 'https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=1E17F444-54EF-4F14-993F-773DFD841014', 'https://www.jec.senate.gov/public/_cache/files/f5be48a4-505e-4726-83b3-05f647c9cce0/joint-economic-committee---written-testimomy---j-samuelson.pdf', 'https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=FA622611-C958-4B49-992A-11F920250643', 'https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=D5A617DD-7CCB-4EA2-BDF4-4F387FEAB9EE', 'https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=FF8E2D92-44A6-4FDA-96BC-8791ED65723F']","[('opening statement', 'https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=773FE160-1D5D-4DF7-8AFA-795B53008F7E'), ('Testimony', 'https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=1E17F444-54EF-4F14-993F-773DFD841014'), ('Testimony', 'https://www.jec.senate.gov/public/_cache/files/f5be48a4-505e-4726-83b3-05f647c9cce0/joint-economic-committee---written-testimomy---j-samuelson.pdf'), ('Testimony', 'https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=FA622611-C958-4B49-992A-11F920250643'), ('Testimony', 'https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=D5A617DD-7CCB-4EA2-BDF4-4F387FEAB9EE'), ('opening statement', 'https://www.jec.senate.gov/public/index.cfm?a=files.serve&File_id=FF8E2D92-44A6-4FDA-96BC-8791ED65723F')]",,,
1,02/09/2022,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=C8279722-9393-41E7-9565-5A90EFBF7049,Building a Better Labor Market: Empowering Older Workers for a Stronger Economy,,JEC,2022-04-04,https://www.youtube.com/embed/gCngKVrA21o,"['Teresa Ghilarducci', 'Monique Morrissey', 'Jocelyn Frye', 'Andrew Biggs', ""Chairman Beyer's Opening Statement"", ""Ranking Member Lee's Opening Statement""]","['https://www.jec.senate.gov/public/_cache/files/d4597ad8-ce76-4c11-9180-c224a2917ea2/written-testimony-jec-feb-9-ghilarducci-final.pdf', 'https://www.jec.senate.gov/public/_cache/files/518f9031-03e9-4484-adc4-8c7e29d68c02/monique-morrissey-jec-testimony.pdf', 'https://www.jec.senate.gov/public/_cache/files/dd804339-da87-4e17-8c4b-764f5c14fe14/testimony-of-jocelyn-frye-jec-2-9-22final.pdf', 'https://www.jec.senate.gov/public/_cache/files/3945f59c-1aba-4512-b525-d9a6d5fad499/biggs---jec-testimony-feb-2022-labor-supply-at-older-ages.pdf', 'https://www.jec.senate.gov/public/_cache/files/3aa861ff-5a7b-41f0-9415-cdd0989d0dbc/older-workers-hearing---opening-statement---final.pdf', 'https://www.jec.senate.gov/public/_cache/files/e1c30fa5-9892-4c47-b938-53cc08421a0b/ranking-member-lee-s-opening-statement-2-9-2022.pdf']","[('Teresa Ghilarducci', 'https://www.jec.senate.gov/public/_cache/files/d4597ad8-ce76-4c11-9180-c224a2917ea2/written-testimony-jec-feb-9-ghilarducci-final.pdf'), ('Monique Morrissey', 'https://www.jec.senate.gov/public/_cache/files/518f9031-03e9-4484-adc4-8c7e29d68c02/monique-morrissey-jec-testimony.pdf'), ('Jocelyn Frye', 'https://www.jec.senate.gov/public/_cache/files/dd804339-da87-4e17-8c4b-764f5c14fe14/testimony-of-jocelyn-frye-jec-2-9-22final.pdf'), ('Andrew Biggs', 'https://www.jec.senate.gov/public/_cache/files/3945f59c-1aba-4512-b525-d9a6d5fad499/biggs---jec-testimony-feb-2022-labor-supply-at-older-ages.pdf'), (""Chairman Beyer's Opening Statement"", 'https://www.jec.senate.gov/public/_cache/files/3aa861ff-5a7b-41f0-9415-cdd0989d0dbc/older-workers-hearing---opening-statement---final.pdf'), (""Ranking Member Lee's Opening Statement"", 'https://www.jec.senate.gov/public/_cache/files/e1c30fa5-9892-4c47-b938-53cc08421a0b/ranking-member-lee-s-opening-statement-2-9-2022.pdf')]",,,
2,11/08/2007,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=798BBA23-7E9C-9AF9-724C-68A57B41E5C2,The Economic Outlook,,JEC,2022-03-24,,['Archived Webcast'],['https://www.jec.senate.gov/_files/archivedhearing08nov20071.ram'],"[('Archived Webcast', 'https://www.jec.senate.gov/_files/archivedhearing08nov20071.ram')]",2.0,0.0,0.0
3,10/04/2007,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=7A22E2AB-7E9C-9AF9-7BB7-4A1B88554F61,Mass Incarceration in the United States: At What Cost?,,JEC,2022-03-24,,['Archived Webcast'],['https://www.jec.senate.gov/_files/archivedhearing04oct2007.ram'],"[('Archived Webcast', 'https://www.jec.senate.gov/_files/archivedhearing04oct2007.ram')]",3.0,1.0,1.0
4,09/19/2007,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=7E3E1C60-7E9C-9AF9-7F6C-F47BD02EB7FF,Evolution of an Economic Crisis?: The Subprime Lending Disaster and the Threat to the Broader Economy,,JEC,2022-03-24,,['Archived Webcast'],['https://www.jec.senate.gov/_files/archivedhearing0918071.ram'],"[('Archived Webcast', 'https://www.jec.senate.gov/_files/archivedhearing0918071.ram')]",4.0,2.0,2.0
5,07/25/2007,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=7E4D4491-7E9C-9AF9-7CE7-BA13AA797CB3,"A Local Look at the National Foreclosure Crisis: Cleveland Families, Neighborhoods, Economy Under Siege from the Subprime Mortgage Fallout",,JEC,2022-03-24,,['Archived Webcast'],['https://www.jec.senate.gov/_files/archivedhearing08nov20071.ram'],"[('Archived Webcast', 'https://www.jec.senate.gov/_files/archivedhearing08nov20071.ram')]",5.0,3.0,3.0
6,06/27/2007,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=7E578802-7E9C-9AF9-7073-AF7B51FB9C86,Investing in Young Children Pays Dividends: The Economic Case for Early Care and Education,,JEC,2022-03-24,,['Archived Webcast'],['https://www.jec.senate.gov/_files/archivedhearing27june2007.ram'],"[('Archived Webcast', 'https://www.jec.senate.gov/_files/archivedhearing27june2007.ram')]",6.0,4.0,4.0
7,06/14/2007,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=7E6EEAB3-7E9C-9AF9-7DC0-64168F10DB12,Importing Success: Why Work-Family Policies from Abroad Make Economic Sense for the U.S.,,JEC,2022-03-24,,['Archived Webcast'],['https://www.jec.senate.gov/_files/archivedhearing14june2007061407.ram'],"[('Archived Webcast', 'https://www.jec.senate.gov/_files/archivedhearing14june2007061407.ram')]",7.0,5.0,5.0
8,05/23/2007,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=7E4B6ADF-7E9C-9AF9-77A8-E025FD3734ED,Is Market Concentration in the U.S. Petroleum Industry Harming Consumers?,,JEC,2022-03-24,,['Archived Webcast'],['https://www.jec.senate.gov/_files/archivedhearing0523070.ram'],"[('Archived Webcast', 'https://www.jec.senate.gov/_files/archivedhearing0523070.ram')]",8.0,6.0,6.0
9,05/16/2007,,https://www.jec.senate.gov/public/index.cfm/hearings-calendar?ID=7E5CB4F5-7E9C-9AF9-7425-38AC94EC07E4,Are the Explosive Costs of Elder Care hurting Family Finances and Business Competition?,,JEC,2022-03-24,,['Archived Webcast'],['https://www.jec.senate.gov/_files/archivedhearing051607.ram'],"[('Archived Webcast', 'https://www.jec.senate.gov/_files/archivedhearing051607.ram')]",9.0,7.0,7.0
