,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
0,04/04/22,10:00AM,https://www.judiciary.senate.gov/meetings/03/28/2022/executive-business-meeting,Executive Business Meeting,Hart Senate Office Building Room 216,Judiciary,2022-04-04,[],[],[],,,,
1,03/29/22,10:00AM,https://www.judiciary.senate.gov/meetings/the-freedom-of-information-act-improving-transparency-and-the-american-publics-right-to-know-for-the-21st-century,The Freedom of Information Act: Improving Transparency and the American Public’s Right to Know for the 21st Century,Dirksen Senate Office Building Room 226,Judiciary,2022-04-04,"['Chuck Grassley', 'Bobak Talebian', 'Alina M. Semo', 'James R. McTigue, Jr.']","['https://www.judiciary.senate.gov/imo/media/doc/Grassley%20Opening%20Statement%20at%20FOIA%20Hearing.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Talebian%20testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Semo%20testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/McTigue%20testimony.pdf']","[('Chuck Grassley', 'https://www.judiciary.senate.gov/imo/media/doc/Grassley%20Opening%20Statement%20at%20FOIA%20Hearing.pdf'), ('Bobak Talebian', 'https://www.judiciary.senate.gov/imo/media/doc/Talebian%20testimony.pdf'), ('Alina M. Semo', 'https://www.judiciary.senate.gov/imo/media/doc/Semo%20testimony.pdf'), ('James R. McTigue, Jr.', 'https://www.judiciary.senate.gov/imo/media/doc/McTigue%20testimony.pdf')]",https://www.judiciary.senate.gov/hearings/watch?hearingid=FCC5E5B0-5056-A066-60AB-1B70F70425C1,,,
2,03/28/22,03:00PM,https://www.judiciary.senate.gov/meetings/03/24/2022/executive-business-meeting,Executive Business Meeting,Hart Senate Office Building Room 216,Judiciary,2022-04-04,['Chuck Grassley'],['https://www.judiciary.senate.gov/imo/media/doc/03-28-22%20Grassley%20Statement.pdf'],"[('Chuck Grassley', 'https://www.judiciary.senate.gov/imo/media/doc/03-28-22%20Grassley%20Statement.pdf')]",https://www.judiciary.senate.gov/hearings/watch?hearingid=57822A97-5056-A066-607B-3006E987E01A,,,
3,03/24/22,09:00AM,https://www.judiciary.senate.gov/meetings/the-nomination-of-ketanji-brown-jackson-to-be-an-associate-justice-of-the-supreme-court-of-the-united-states-day-4,The Nomination of Ketanji Brown Jackson to be an Associate Justice of the Supreme Court of the United States (Day 4),Hart Senate Office Building Room 216,Judiciary,2022-04-04,"['Ann Claire Williams', 'D. Jean Veta', 'Joseph M. Drayton', 'Joyce Beatty', 'Risa Goluboff', 'Wade Henderson', 'Richard B. Rosenthal', 'Frederick Thomas', 'Steve Marshall', 'Jennifer Mascott', 'Eleanor McCullen', 'Keisha Russell', 'Alessandra Serano']","['https://www.judiciary.senate.gov/imo/media/doc/ABA%20Testimony1.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/ABA%20Testimony3.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/ABA%20Testimony4.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Beatty%20Testimony3.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Goluboff%20Testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Henderson%20Testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Rosenthal%20Testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Thomas%20Testimony1.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Testimony%20of%20Steven%20T.%20Marshall%203.241.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Mascott%20written%20statement%2003.24.2022.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Testimony%20of%20Mrs.%20Eleanor%20McCullen.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Russell%20KBJ%20Testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Testimony%20of%20Alessandra%20Parisi%20Serano.pdf']","[('Ann Claire Williams', 'https://www.judiciary.senate.gov/imo/media/doc/ABA%20Testimony1.pdf'), ('D. Jean Veta', 'https://www.judiciary.senate.gov/imo/media/doc/ABA%20Testimony3.pdf'), ('Joseph M. Drayton', 'https://www.judiciary.senate.gov/imo/media/doc/ABA%20Testimony4.pdf'), ('Joyce Beatty', 'https://www.judiciary.senate.gov/imo/media/doc/Beatty%20Testimony3.pdf'), ('Risa Goluboff', 'https://www.judiciary.senate.gov/imo/media/doc/Goluboff%20Testimony.pdf'), ('Wade Henderson', 'https://www.judiciary.senate.gov/imo/media/doc/Henderson%20Testimony.pdf'), ('Richard B. Rosenthal', 'https://www.judiciary.senate.gov/imo/media/doc/Rosenthal%20Testimony.pdf'), ('Frederick Thomas', 'https://www.judiciary.senate.gov/imo/media/doc/Thomas%20Testimony1.pdf'), ('Steve Marshall', 'https://www.judiciary.senate.gov/imo/media/doc/Testimony%20of%20Steven%20T.%20Marshall%203.241.pdf'), ('Jennifer Mascott', 'https://www.judiciary.senate.gov/imo/media/doc/Mascott%20written%20statement%2003.24.2022.pdf'), ('Eleanor McCullen', 'https://www.judiciary.senate.gov/imo/media/doc/Testimony%20of%20Mrs.%20Eleanor%20McCullen.pdf'), ('Keisha Russell', 'https://www.judiciary.senate.gov/imo/media/doc/Russell%20KBJ%20Testimony.pdf'), ('Alessandra Serano', 'https://www.judiciary.senate.gov/imo/media/doc/Testimony%20of%20Alessandra%20Parisi%20Serano.pdf')]",https://www.judiciary.senate.gov/hearings/watch?hearingid=670B878C-5056-A066-60EE-8E38B70183E5,,,
4,03/23/22,09:00AM,https://www.judiciary.senate.gov/meetings/the-nomination-of-ketanji-brown-jackson-to-be-an-associate-justice-of-the-supreme-court-of-the-united-states-day-3,The Nomination of Ketanji Brown Jackson to be an Associate Justice of the Supreme Court of the United States (Day 3),Hart Senate Office Building Room 216,Judiciary,2022-04-04,[],[],[],https://www.judiciary.senate.gov/hearings/watch?hearingid=66ED32AB-5056-A066-606A-E8213C3553F5,,,
5,03/22/22,09:00AM,https://www.judiciary.senate.gov/meetings/03/14/2022/the-nomination-of-ketanji-brown-jackson-to-be-an-associate-justice-of-the-supreme-court-of-the-united-states-day-2,The Nomination of Ketanji Brown Jackson to be an Associate Justice of the Supreme Court of the United States (Day 2),Hart Senate Office Building Room 216,Judiciary,2022-04-04,[],[],[],https://www.judiciary.senate.gov/hearings/watch?hearingid=675B1F5B-5056-A066-6040-E4241623C1FC,,,
6,03/21/22,11:00AM,https://www.judiciary.senate.gov/meetings/the-nomination-of-ketanji-brown-jackson-to-be-an-associate-justice-of-the-supreme-court-of-the-united-states,The Nomination of Ketanji Brown Jackson to be an Associate Justice of the Supreme Court of the United States,Hart Senate Office Building Room 216,Judiciary,2022-04-04,"['Chuck Grassley', 'Thomas B. Griffith', 'Lisa M. Fairfax', 'Ketanji Brown Jackson']","['https://www.judiciary.senate.gov/imo/media/doc/03-21-22%20Grassley%20Statement.pdf', '', '', 'https://www.judiciary.senate.gov/imo/media/doc/Judge%20Ketanji%20Brown%20Jackson%20Written%20Responses%20to%20Questions%20for%20the%20Record.pdf']","[('Chuck Grassley', 'https://www.judiciary.senate.gov/imo/media/doc/03-21-22%20Grassley%20Statement.pdf'), ('Thomas B. Griffith', ''), ('Lisa M. Fairfax', ''), ('Ketanji Brown Jackson', 'https://www.judiciary.senate.gov/imo/media/doc/Judge%20Ketanji%20Brown%20Jackson%20Written%20Responses%20to%20Questions%20for%20the%20Record.pdf')]",https://www.judiciary.senate.gov/hearings/watch?hearingid=66D22893-5056-A066-6092-972AB1A635C6,,,
7,03/15/22,02:00PM,https://www.judiciary.senate.gov/meetings/removing-barriers-to-legal-migration-to-strengthen-our-communities-and-economy,Removing Barriers to Legal Migration to Strengthen our Communities and Economy,Dirksen Senate Office Building Room 226,Judiciary,2022-04-04,"['Athulya Rajakumar', 'Stephen H. Legomsky', 'Lynden D. Melmed']","['https://www.judiciary.senate.gov/imo/media/doc/Rajakumar%20Testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Legomsky%20Testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Melmed%20Testimony.pdf']","[('Athulya Rajakumar', 'https://www.judiciary.senate.gov/imo/media/doc/Rajakumar%20Testimony.pdf'), ('Stephen H. Legomsky', 'https://www.judiciary.senate.gov/imo/media/doc/Legomsky%20Testimony.pdf'), ('Lynden D. Melmed', 'https://www.judiciary.senate.gov/imo/media/doc/Melmed%20Testimony.pdf')]",https://www.judiciary.senate.gov/hearings/watch?hearingid=2F67810D-5056-A066-60E8-7747A3F7164A,,,
8,03/10/22,09:00AM,https://www.judiciary.senate.gov/meetings/03/10/2022/executive-business-meeting,Executive Business Meeting,Russell Senate Office Building Room 325,Judiciary,2022-04-04,[],[],[],https://www.judiciary.senate.gov/hearings/watch?hearingid=2EB0751B-5056-A066-6001-27544B0EB25B,,,
9,03/08/22,10:00AM,https://www.judiciary.senate.gov/meetings/combating-the-rise-in-hate-crimes,Combating the Rise in Hate Crimes,Dirksen Senate Office Building Room 226,Judiciary,2022-04-04,"['Chuck Grassley', 'Kristen Clarke', 'Charlie Cytron-Walker', 'Walter M. Kimbrough', 'Orlando Martinez', 'Elan S. Carr', 'Maya Berry']","['https://www.judiciary.senate.gov/imo/media/doc/03-08-22%20Grassley%20Statement1.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Clarke%20Testimony2.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Cytron-Walker%20Testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Kimbrough%20testimony1.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Martinez%20Testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Carr%20testimony.pdf', 'https://www.judiciary.senate.gov/imo/media/doc/Berry%20Testimony.pdf']","[('Chuck Grassley', 'https://www.judiciary.senate.gov/imo/media/doc/03-08-22%20Grassley%20Statement1.pdf'), ('Kristen Clarke', 'https://www.judiciary.senate.gov/imo/media/doc/Clarke%20Testimony2.pdf'), ('Charlie Cytron-Walker', 'https://www.judiciary.senate.gov/imo/media/doc/Cytron-Walker%20Testimony.pdf'), ('Walter M. Kimbrough', 'https://www.judiciary.senate.gov/imo/media/doc/Kimbrough%20testimony1.pdf'), ('Orlando Martinez', 'https://www.judiciary.senate.gov/imo/media/doc/Martinez%20Testimony.pdf'), ('Elan S. Carr', 'https://www.judiciary.senate.gov/imo/media/doc/Carr%20testimony.pdf'), ('Maya Berry', 'https://www.judiciary.senate.gov/imo/media/doc/Berry%20Testimony.pdf')]",https://www.judiciary.senate.gov/hearings/watch?hearingid=CDD2BA55-5056-A066-605F-C5EA9346C78D,,,
10,03/03/22,09:00AM,https://www.judiciary.senate.gov/meetings/02/24/2022/executive-business-meeting,Executive Business Meeting,Hart Senate Office Building Room 216,Judiciary,2022-04-04,[],[],[],,,,
