Date,Time,URL,Title,Location,Committee,Date Scraped,video_url
11/3/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=256D08CE-44DC-47B4-9663-F9AC5AA8950E,Examining Programs at the Economic Development Administration,,Enviroment,2021-10-29,
10/27/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=A654BF51-1207-411A-BD0E-914CCFBDB60B,"Hearing on the Nominations of Christopher Frey to be Assistant Administrator for Research and Development, at the Environmental Protection Agency and Jennifer Clyburn Reed to be Federal Co-Chair of the Southeast Crescent Regional Commission",,Enviroment,2021-10-29,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw102721&auto_play=false
10/20/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=A426A1B2-B066-4128-86A1-08578A1FBC34,Evaluating the Federal Response to the Persistence and Impacts of PFAS Chemicals on our Environment,,Enviroment,2021-10-29,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw102021&auto_play=false
10/15/21,11:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=A08331CF-863F-4163-A82F-5F0ECAAFF3E2,"Identifying Unique Challenges for Small, Rural and Disadvantaged Communities in Accessing and Maintaining Drinking Water and Wastewater Treatment Infrastructure Services (Part 2)",,Enviroment,2021-10-29,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw101521&auto_play=false
10/14/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=F5DF6636-262E-4D45-B113-EBDB407ABE83,"Identifying Unique Challenges for Small, Rural and Disadvantaged Communities in Accessing and Maintaining Drinking Water and Wastewater Treatment Infrastructure Services (Part 1)",,Enviroment,2021-10-29,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw101421&auto_play=false
10/6/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=6A08923A-AA31-4879-A693-C6F69D291AE9,The U.S. Army Corps of Engineers Emergency Response to Hurricane Ida,,Enviroment,2021-10-29,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw100621&auto_play=false
9/22/21,9:30 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=FDE5A60A-5AED-4B33-B89C-AFF90832074C,Business Meeting & Hearing on Circular Economy,,Enviroment,2021-10-29,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw092221&auto_play=false
9/15/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=D970CDAA-CAF0-4745-9125-05724D70E9C6,"Hearing on the Nominations of Amanda Howe to be Assistant Administrator for Mission Support of the Environmental Protection Agency, David Uhlmann to be Assistant Administrator for Enforcement and Compliance Assurance of the Environmental Protection Agency, and Carlton Waterhouse to be Assistant Administrator of Land and Emergency Management of the Environmental Protection Agency.",,Enviroment,2021-10-29,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw091521&auto_play=false
7/29/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=603D45A0-ED84-4A47-8D0B-3F9AFA62D9A6,"Hearing on the Nominations of Stephen A. Owens, Jennifer Beth Sass, and Sylvia E. Johnson to be members of the U.S. Chemical Safety and Hazard Investigations Board",,Enviroment,2021-10-29,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw072921&auto_play=false
7/28/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=B6BD63B3-A38E-4DD1-8A53-271486DBDDA8,Examining the Benefits of Investing in USACE Water Infrastructure Projects,,Enviroment,2021-10-29,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw072821&auto_play=false
