,Date,Time,URL,Title,Location,Committee,Date Scraped,video_url,witnesses,transcripts,witness_transcripts
0,,,,,,SBC,2022-11-02,,,,
1,9/21/22,2:30 PM,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=51EB574E-DA83-4AE3-8B27-E34140854B2F,Oversight of SBA’s State Trade Expansion Program,,SBC,2022-11-02,https://www.senate.gov/isvp/?type=live&comm=smbiz&filename=smbiz092122&auto_play=false,"['Gabriel Esparza', 'Shaun Akhavan', 'Grace Preston']","['https://www.sbc.senate.gov/public/_cache/files/0/d/0dc29a76-3c18-4cef-88d2-d8c325f2dcd3/27617CFF7D1C16B692D221C24FE8C9C6.esparza-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/8/8/88945713-baf4-40c5-a7b3-cf3c2996d8c4/3DD74DCB0C4B444A531872A9DD8AC114.akhavan-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/0/e/0e84205d-d728-4581-972d-a549e9d9a55b/90C8211B54929E6A76487AA12207D4F6.preston-testimony.pdf']","[('Gabriel Esparza', 'https://www.sbc.senate.gov/public/_cache/files/0/d/0dc29a76-3c18-4cef-88d2-d8c325f2dcd3/27617CFF7D1C16B692D221C24FE8C9C6.esparza-testimony.pdf'), ('Shaun Akhavan', 'https://www.sbc.senate.gov/public/_cache/files/8/8/88945713-baf4-40c5-a7b3-cf3c2996d8c4/3DD74DCB0C4B444A531872A9DD8AC114.akhavan-testimony.pdf'), ('Grace Preston', 'https://www.sbc.senate.gov/public/_cache/files/0/e/0e84205d-d728-4581-972d-a549e9d9a55b/90C8211B54929E6A76487AA12207D4F6.preston-testimony.pdf')]"
3,8/2/22,10:00 AM,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=0A1DC5C1-7CE6-41C2-BA68-8E2EF7335FC7,Oversight of SBA’s COVID Economic Injury Disaster Loan Program,,SBC,2022-11-02,https://www.senate.gov/isvp/?type=live&comm=smbiz&filename=smbiz080222&auto_play=false,"['Patrick Kelley', '']","['', '']","[('Patrick Kelley', ''), ('', '')]"
5,7/27/22,2:30 PM,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=8BDF5E57-2CE4-4AF6-8B87-22D79AFE7216,A New Start: Opportunities and Barriers to Entrepreneurship for Returning Citizens and Justice Impacted Individuals,,SBC,2022-11-02,https://www.senate.gov/isvp/?type=live&comm=smbiz&filename=smbiz072722&auto_play=false,"['Dan Caudill', 'Coss Marte', 'Damon Phillips', 'Rob Perez']","['https://www.sbc.senate.gov/public/_cache/files/8/8/8857fcd7-c3b4-4208-8fba-df5d9eb290d9/E74788CF5ED0995BC0090CCC99BC5427.caudill-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/c/8/c8d0cd83-39e2-4d61-85fa-ecb2a787d622/B80AF041423B299703D39319E468DB2B.marte-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/2/1/21085b47-5d86-4cc7-84a9-29dc58e395c5/DE2D78519F7B2E60D8CB5D186A861908.phillips-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/2/d/2d935a6e-adea-4924-ba24-5e82b74a408c/7DD18A1A85D11DEAC3FD4D4BB01387A0.perez-testimony.pdf']","[('Dan Caudill', 'https://www.sbc.senate.gov/public/_cache/files/8/8/8857fcd7-c3b4-4208-8fba-df5d9eb290d9/E74788CF5ED0995BC0090CCC99BC5427.caudill-testimony.pdf'), ('Coss Marte', 'https://www.sbc.senate.gov/public/_cache/files/c/8/c8d0cd83-39e2-4d61-85fa-ecb2a787d622/B80AF041423B299703D39319E468DB2B.marte-testimony.pdf'), ('Damon Phillips', 'https://www.sbc.senate.gov/public/_cache/files/2/1/21085b47-5d86-4cc7-84a9-29dc58e395c5/DE2D78519F7B2E60D8CB5D186A861908.phillips-testimony.pdf'), ('Rob Perez', 'https://www.sbc.senate.gov/public/_cache/files/2/d/2d935a6e-adea-4924-ba24-5e82b74a408c/7DD18A1A85D11DEAC3FD4D4BB01387A0.perez-testimony.pdf')]"
6,7/13/22,2:30 PM,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=9AE9E497-2D18-44C8-BBFB-526C4A59083F,Oversight of SBA's Office of Disaster Assistance,,SBC,2022-11-02,https://www.senate.gov/isvp/?type=live&comm=smbiz&filename=smbiz071322&auto_play=false,['Francisco Sanchez'],['https://www.sbc.senate.gov/public/_cache/files/5/9/59ce84c5-c8d2-447a-bec6-1e10d38a84c6/2B75D8E57FDB2C5448066436333549AB.sanchez-testimony.pdf'],"[('Francisco Sanchez', 'https://www.sbc.senate.gov/public/_cache/files/5/9/59ce84c5-c8d2-447a-bec6-1e10d38a84c6/2B75D8E57FDB2C5448066436333549AB.sanchez-testimony.pdf')]"
8,6/8/22,2:30 PM,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=745726FB-DEBD-4F12-9519-919759FD4E53,"The Small Business Workforce Challenge: Causes, Impacts and Solutions",,SBC,2022-11-02,https://www.senate.gov/isvp/?type=live&comm=smbiz&filename=smbiz060822&auto_play=false,"['Annelies M. Goger', 'Rachel Greszler', 'John Arensmeyer', 'Michael Faulkender Ph.D']","['https://www.sbc.senate.gov/public/_cache/files/3/5/35f9d7b0-ef21-461e-a815-fd908548a821/4B36E5CCEB220FBB1AE8DA752E6E9036.goger-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/a/5/a5a8c228-6ef0-47b9-8de1-3a8468e68d29/6370354B22A6372350A860EB1F51CEA0.greszler-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/7/0/70d9c6c0-835b-4f79-9a1b-26e71f20c812/90CAA0C973180BB917407D14BAACB9B3.arensmeyer-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/2/d/2d36e757-8839-4ba1-9e9e-917e81b9745b/56079B2AF850A8CAC0487F559EB9841C.faulkender-testimony.pdf']","[('Annelies M. Goger', 'https://www.sbc.senate.gov/public/_cache/files/3/5/35f9d7b0-ef21-461e-a815-fd908548a821/4B36E5CCEB220FBB1AE8DA752E6E9036.goger-testimony.pdf'), ('Rachel Greszler', 'https://www.sbc.senate.gov/public/_cache/files/a/5/a5a8c228-6ef0-47b9-8de1-3a8468e68d29/6370354B22A6372350A860EB1F51CEA0.greszler-testimony.pdf'), ('John Arensmeyer', 'https://www.sbc.senate.gov/public/_cache/files/7/0/70d9c6c0-835b-4f79-9a1b-26e71f20c812/90CAA0C973180BB917407D14BAACB9B3.arensmeyer-testimony.pdf'), ('Michael Faulkender Ph.D', 'https://www.sbc.senate.gov/public/_cache/files/2/d/2d36e757-8839-4ba1-9e9e-917e81b9745b/56079B2AF850A8CAC0487F559EB9841C.faulkender-testimony.pdf')]"
10,5/18/22,2:30 PM,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=5AB6208F-5F3C-4937-9F99-D375A8724C5A,Small Business Committee to hold a Business Meeting,,SBC,2022-11-02,https://www.senate.gov/isvp/?type=live&comm=smbiz&filename=smbiz051822&auto_play=false,[],[],[]
12,4/27/22,2:30 PM,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=03DEDD0F-CACE-4288-BE7E-C57DFA9D0DB8,Oversight of the U.S. Small Business Administration,,SBC,2022-11-02,https://www.senate.gov/isvp/?type=live&comm=smbiz&filename=smbiz042722&auto_play=false,['Isabella Guzman'],['https://www.sbc.senate.gov/public/_cache/files/4/f/4ffa21f7-dd08-4ea4-82c5-83f7af542937/671A6BC46D659BFCB37D4E2E9FFDB9FD.guzman-testimony.pdf'],"[('Isabella Guzman', 'https://www.sbc.senate.gov/public/_cache/files/4/f/4ffa21f7-dd08-4ea4-82c5-83f7af542937/671A6BC46D659BFCB37D4E2E9FFDB9FD.guzman-testimony.pdf')]"
14,3/30/22,1:45 PM,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=F5C3AC9C-28D1-4421-B0A0-C21448480EF2,The Supply Chain Crisis and the Implications for Small Businesses,,SBC,2022-11-02,https://www.senate.gov/isvp/?type=live&comm=smbiz&filename=smbiz033022&auto_play=false,"['Cheetie Kumar', 'Jason Lam', 'Sridhar Kota', 'Joel Griffith']","['https://www.sbc.senate.gov/public/_cache/files/e/a/ead8380b-b47f-4f60-ad88-3ef99a22196a/97AFAB7797BB3E2EB0DA4DD56AD2254F.kumar-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/d/7/d7e8acba-77e1-4c83-85b9-51a7bb68fafa/D7CDA95CAE9261A0C785AD77EA84B0B8.lam-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/a/5/a5ef096a-e41b-48d1-b249-4b5c70183e1e/BF76F9D06AECFFCA1ADFC2FE970CB31F.kota-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/b/9/b93c2ee9-cfec-40f7-b717-8dba675e3b3d/95D11CA780B9F04F29E0E4B9173DCE9A.griffith-testimony.pdf']","[('Cheetie Kumar', 'https://www.sbc.senate.gov/public/_cache/files/e/a/ead8380b-b47f-4f60-ad88-3ef99a22196a/97AFAB7797BB3E2EB0DA4DD56AD2254F.kumar-testimony.pdf'), ('Jason Lam', 'https://www.sbc.senate.gov/public/_cache/files/d/7/d7e8acba-77e1-4c83-85b9-51a7bb68fafa/D7CDA95CAE9261A0C785AD77EA84B0B8.lam-testimony.pdf'), ('Sridhar Kota', 'https://www.sbc.senate.gov/public/_cache/files/a/5/a5ef096a-e41b-48d1-b249-4b5c70183e1e/BF76F9D06AECFFCA1ADFC2FE970CB31F.kota-testimony.pdf'), ('Joel Griffith', 'https://www.sbc.senate.gov/public/_cache/files/b/9/b93c2ee9-cfec-40f7-b717-8dba675e3b3d/95D11CA780B9F04F29E0E4B9173DCE9A.griffith-testimony.pdf')]"
15,3/16/22,2:30 PM,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=AE9199BE-80BB-479E-86C1-77CCFBAA43A3,"Small Business Franchising: An Overview of the Industry, SBA’s Role, and Legislative Proposals",,SBC,2022-11-02,https://www.senate.gov/isvp/?type=live&comm=smbiz&filename=smbiz031622&auto_play=false,"['Catherine Cortez Masto (D-NV)', 'Robert W Emerson', 'Aaron Yelowitz', 'Leanne Stapf', 'Bryan Tipton']","['https://www.sbc.senate.gov/public/_cache/files/0/4/045efada-fa35-4418-a9d2-ea5c00e2f500/7C14417162926186FC6424DCFA2C3E39.cortez-masto-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/1/b/1b2956d1-3471-4ea6-8210-658d4f5448b0/05C4749937F732750106369414EA9D2B.emerson-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/5/2/52b292fb-45c2-4f6f-9832-f5764ee3666e/FC619EE4B6671BBF518D712A8E7B3521.yelowitz-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/c/7/c7896643-f672-4a1d-9c33-23e5ca8c0035/38FB8AF4C27B4910CE96DB6D12F10DEC.stapf-testimony.pdf', 'https://www.sbc.senate.gov/public/_cache/files/3/2/32f827bf-b722-4cc9-a1ee-9756559f7e53/189786BDBFDF2AFE72A3DA7972443B9C.tipton-testimony.pdf']","[('Catherine Cortez Masto (D-NV)', 'https://www.sbc.senate.gov/public/_cache/files/0/4/045efada-fa35-4418-a9d2-ea5c00e2f500/7C14417162926186FC6424DCFA2C3E39.cortez-masto-testimony.pdf'), ('Robert W Emerson', 'https://www.sbc.senate.gov/public/_cache/files/1/b/1b2956d1-3471-4ea6-8210-658d4f5448b0/05C4749937F732750106369414EA9D2B.emerson-testimony.pdf'), ('Aaron Yelowitz', 'https://www.sbc.senate.gov/public/_cache/files/5/2/52b292fb-45c2-4f6f-9832-f5764ee3666e/FC619EE4B6671BBF518D712A8E7B3521.yelowitz-testimony.pdf'), ('Leanne Stapf', 'https://www.sbc.senate.gov/public/_cache/files/c/7/c7896643-f672-4a1d-9c33-23e5ca8c0035/38FB8AF4C27B4910CE96DB6D12F10DEC.stapf-testimony.pdf'), ('Bryan Tipton', 'https://www.sbc.senate.gov/public/_cache/files/3/2/32f827bf-b722-4cc9-a1ee-9756559f7e53/189786BDBFDF2AFE72A3DA7972443B9C.tipton-testimony.pdf')]"
