,chamber,committee,committee_code,api_uri,date,time,location,description,bill_ids,url,meeting_type
0,Senate,Committee on the Judiciary,SSJU,https://api.propublica.org/congress/v1/117/senate/committees/SSJU.json,2021-08-12,09:00:00,SH-216,"Business meeting to consider S.1787, to amend title 28 of the United States Code to prevent the transfer of actions arising under the antitrust laws in which a State is a complainant, and S.2502, to provide first-time, low-level, nonviolent simple possession offenders an opportunity to expunge that conviction after successful completion of court-imposed probation.",[],,
1,Senate,Committee on Environment and Public Works,SSEV,https://api.propublica.org/congress/v1/117/senate/committees/SSEV.json,2021-08-11,10:00:00,SD-406,"Hearings to examine the nominations of Amanda Howe, of Virginia, and David M. Uhlmann, of Michigan, both to be an Assistant Administrator, and Carlton Waterhouse, of Virginia, to be Assistant Administrator, Office of Solid Waste, all of the Environmental Protection Agency.",[],,
2,Senate,Committee on the Judiciary,SSJU,https://api.propublica.org/congress/v1/117/senate/committees/SSJU.json,2021-08-11,10:00:00,SD-226,Hearings to examine pending nominations.,[],,
4,Senate,"Committee on Agriculture, Nutrition, and Forestry",SSAF,https://api.propublica.org/congress/v1/117/senate/committees/SSAF.json,2021-08-09,00:00:00,TBA,"Business meeting to consider the nominations of Xochitl Torres Small, of New Mexico, to be Under Secretary for Rural Development, and Robert Farrell Bonnie, of Virginia, to be Under Secretary for Farm Production and Conservation, both of the Department of Agriculture.",[],,
5,Senate,Committee on Homeland Security and Governmental Affairs,SSGA,https://api.propublica.org/congress/v1/117/senate/committees/SSGA.json,2021-08-05,10:15:00,SD-342/VTC,"Hearings to examine domestic terrorism and violent extremism, focusing on the threat of racially, ethnically, religiously, and politically motivated attacks.",[],,
6,Senate,Committee on Foreign Relations,SSFR,https://api.propublica.org/congress/v1/117/senate/committees/SSFR.json,2021-08-05,10:00:00,SH-216/VTC,"Hearings to examine the nominations of Michael Raynor, of Maryland, to be Ambassador to the Republic of Senegal, and to serve concurrently and without additional compensation as Ambassador to the Republic of Guinea-Bissau, Marc Ostfield, of Pennsylvania, to be Ambassador to the Republic of Paraguay, and Troy Damian Fitrell, of Virginia, to be Ambassador to the Republic of Guinea, all of the Department of State, and other pending nominations.",[],,
7,Senate,"Committee on Banking, Housing, and Urban Affairs",SSBK,https://api.propublica.org/congress/v1/117/senate/committees/SSBK.json,2021-08-05,10:00:00,SD-538,"Hearings to examine the nominations of Julia Ruth Gordon, of Maryland, David Uejio, of California, and Solomon Jeffrey Greene, of the District of Columbia, each to be an Assistant Secretary of Housing and Urban Development.",[],,
8,Senate,Committee on Energy and Natural Resources,SSEG,https://api.propublica.org/congress/v1/117/senate/committees/SSEG.json,2021-08-05,10:00:00,SD-366,Hearings to examine the role of and programs within the Department of Energy&#39;s Office of Science.,[],,
9,Senate,"Committee on Agriculture, Nutrition, and Forestry",SSAF,https://api.propublica.org/congress/v1/117/senate/committees/SSAF.json,2021-08-05,10:00:00,SR-301,"Hearings to examine the nomination of Homer L. Wilkes, of Mississippi, to be Under Secretary of Agriculture for Natural Resources and Environment.",[],,
10,Senate,Committee on the Judiciary,SSJU,https://api.propublica.org/congress/v1/117/senate/committees/SSJU.json,2021-08-05,09:00:00,SD-G50,"Business meeting to consider S.1787, to amend title 28 of the United States Code to prevent the transfer of actions arising under the antitrust laws in which a State is a complainant, and the nominations of Myrna Perez, of New York, to be United States Circuit Judge for the Second Circuit, Jia M. Cobb, of Virginia, and Florence Y. Pan, both to be a United States District Judge for the District of Columbia, Sarah A.L. Merriam, to be United States District Judge for the District of Connecticut, Karen McGlashan Williams, to be United States District Judge for the District of New Jersey, and Matthew G. Olsen, of Maryland, to be an Assistant Attorney General, Department of Justice.",[],,
