,id,Witnesses,count
1,20429,Patrick Leahy,1057
2,4392,Chuck Grassley,799
3,18137,Max Baucus,596
4,20148,Orrin G. Hatch,516
6,10934,James M. Inhofe,307
7,23598,Ron Wyden,262
9,1820,Barbara Boxer,196
10,12768,John D. (Jay) Rockefeller Iv,165
11,23853,Russ Feingold,164
12,24805,Sherrod Brown,154
13,19171,Mike Crapo,148
15,2290,Bill Nelson,129
16,26088,Ted Stevens,125
17,13430,John Thune,114
18,17106,Maria Cantwell,104
19,13158,John Mccain,103
20,10481,Jack Reed,101
23,6760,Dianne Feinstein,84
24,5233,Daniel K. Inouye,83
25,23510,Roger Wicker,80
26,5127,Daniel Akaka,77
27,22325,Richard Lugar,69
28,12753,John Cornyn,67
29,12056,Jerry Moran,67
30,6201,David Vitter,66
33,6769,Dick Durbin,63
34,23792,Roy Blunt,62
35,26745,Tim Johnson,61
37,8593,Frank R. Lautenberg,58
38,14794,Kay Bailey Hutchison,58
39,13059,John Kerry,57
40,20416,Patrick J. Toomey,56
41,22135,Richard Burr,56
43,12789,John D. Rockefeller,54
44,5950,David M. Walker,53
45,2058,Benjamin L. Cardin,51
46,22411,Richard Shelby,48
47,13282,John R Thune,44
48,7226,Douglas Holtz-Eakin,43
49,9174,George V. Voinovich,43
51,24772,Sheldon Whitehouse,40
52,9999,Herb Kohl,39
53,25771,Susan Collins,38
54,12887,John F. Kerry,38
55,15612,Lamar Alexander,37
56,4254,Christopher J. Dodd,37
57,26609,Thomas R. Carper,35
59,6348,Debbie Stabenow,34
61,16429,Lisa Murkowski,34
64,2022,Ben S. Bernanke,30
65,12790,John D. Rockefeller Iv,28
67,8850,Gary Gensler,28
68,26222,Thad Cochran,27
69,13525,Johnny Isakson,27
70,20490,Patty Murray,27
71,3840,Charles Schumer,26
72,976,Amy Klobuchar,25
73,13839,Joseph F. Dunford,25
74,24301,Saxby Chambliss,25
75,7593,Edward M. Kennedy,24
77,16363,Lindsey Graham,24
80,12998,John Hoeven,23
81,24563,Sen. Jim Inhofe,23
82,17665,Martin E. Dempsey,23
83,22121,Richard Blumenthal,22
84,7574,Edward Kennedy,22
85,11550,Jeff Bingaman,22
86,24779,Shelley Moore Capito,22
88,27580,Victoria Nuland,22
89,18442,Michael Chertoff,22
90,8242,Eugene L. Dodaro,21
92,9291,Gina Mccarthy,20
93,13864,Joseph I. Lieberman,20
94,11027,James R. Clapper,20
95,27730,Wade Henderson,20
96,17875,Mary Schapiro,20
97,11277,Janet A. Napolitano,20
98,3205,Carl Blake,20
99,5235,Daniel K. Tarullo,20
100,1458,Anthony Fauci,20
101,19216,Mike Lee,20
102,12114,Jessica Rosenworcel,19
103,15679,Larry E. Craig,19
104,13136,John M. Richardson,19
105,12869,John Ensign,19
106,4504,Clay Johnson Iii,19
107,22144,Richard C. Shelby,19
108,2112,Bernie Sanders,19
109,4595,Colleen M. Kelley,19
110,13573,Jon Kyl,19
111,9820,Harry Reid,18
112,11648,Jefferson Keel,18
113,462,Ajit Pai,18
114,24518,Sean J. Stackley,18
115,27170,Tom Vilsack,18
116,17231,Mark A. Milley,18
117,9539,Gregory D. Kutz,18
118,24746,Sheila Bair,18
119,1709,Asa Hutchinson,17
120,21053,Peter Orszag,17
121,1733,Ashton B. Carter,17
122,27391,Unofficial Statement,17
123,12221,Jim Inhofe,17
124,24033,Sam Brownback,17
125,12005,Jerome H. Powell,17
126,3706,Charles E. Schumer,17
127,10980,James N. Mattis,17
128,18413,Michael Brostek,17
129,4787,Crapo,16
131,12435,Joe Biden Jr.,16
132,16418,Lisa Jackson,16
133,4333,Christopher S. Bond,16
134,18149,Max Stier,16
135,13332,John Roth,16
136,7698,Eleanor Holmes Norton,16
137,15330,Kevin Washburn,16
138,5518,David A. Powner,16
139,22659,Robert B. Neller,15
140,24710,Shaun Donovan,15
141,24388,Scott Gottlieb,15
142,23202,Robert S. Mueller,15
143,6330,Deb Fischer,15
144,12662,John Boozman,15
145,19946,Nina E. Olson,15
146,12351,Jo-Ellen Darcy,15
147,26827,Timothy Geithner,15
148,427,Adrian Atizado,15
149,17838,Mary L. Landrieu,15
150,13334,John Rowan,15
151,25664,Strom Thurmond,15
152,13348,John S. Pistole,14
153,27278,Travis B. Plunkett,14
154,13487,John Warner,14
155,21608,Randal K. Quarles,14
156,27682,W. Craig Fugate,14
157,517,Alan Greenspan,14
158,471,Al Franken,14
159,17366,Mark Goldstein,14
160,15518,Kristine L. Svinicki,14
161,28473,Yvette Roubideaux,14
162,16831,Madelyn R. Creedon,14
163,10911,James Lankford,14
164,11317,Janet Woodcock,14
165,8995,Gene Kimmelman,14
166,8997,Gene L. Dodaro,14
167,4230,Christopher Dodd,14
168,4227,Christopher Cox,14
169,10935,James M. Jeffords,14
170,3119,Calvin L. Scovel Iii,14
171,18938,Michael S. Rogers,14
172,1866,Barbara Mikulski,13
173,4195,Christopher A. Wray,13
174,1593,Arlen Specter,13
175,6100,David S. Cohen,13
176,4783,Craig Thomas,13
177,27083,Tom Harkin,13
178,4658,Conrad Burns,13
179,27045,Tom Coburn,13
180,17242,Mark A. Welsh Iiif,13
181,6543,Dennis Cullinan,13
182,11479,Jayetta Hecker,13
183,21814,Raymond T. Odierno,13
184,21744,Ray Lahood,13
185,9397,Gordon Smith,13
187,10382,J. Russell George,13
188,11301,Janet Napolitano,13
189,11621,Jeff Sessions,13
190,16521,Loren Yager,13
191,19494,Ms,13
192,15092,Kenneth Mead,13
193,18469,Michael D. Griffin,13
194,13057,John Kennedy,13
195,13520,Johnnie Carson,13
196,17448,Mark Mcclellan,13
197,21990,Retired,13
198,28156,William H. Donaldson,13
200,8174,Ernest Moniz,13
201,22179,Richard Durbin,13
202,22158,Richard Cordray,13
203,12301,Jim Webb,12
204,10777,James F. Jeffrey,12
205,13064,John Koskinen,12
206,11292,Janet L. Yellen,12
207,27116,Tom Malinowski,12
208,19633,Nancy Lindborg,12
209,22312,Richard L. Skinner,12
210,28047,William C. Ostendorff,12
211,12851,John E. Potter,12
212,17298,Mark Cooper,12
213,22838,Robert F. Hale,12
214,12648,John Berry,12
216,4792,Cristina T. Chaplain,12
217,148,"""Sean OKeefe""",12
218,18501,Michael E. Horowitz,11
219,5773,David H. Berger,11
220,5893,David L. Goldfeinf,11
221,14975,Ken Salazar,11
222,5021,Dan Glickman,11
223,18164,Mazie Hirono,11
224,16964,Marc Rotenberg,11
225,13484,John Walsh,11
226,7405,Earl Gast,11
227,13718,Jonathan W. Greenert,11
228,13782,Joseph A. Violante,11
229,17588,Mark Zandi,11
230,14146,Jr.F,11
231,28070,William D. Magwood,11
232,17544,Mark T. Esper,11
233,17339,Mark Everson,11
234,13597,Jon Tester,11
235,11489,Jd,11
236,19175,Mike Dewine,11
237,25187,Stephen Johnson,11
238,5076,Dan Sullivan,11
239,5213,Daniel I. Werfel,11
240,15606,Lael Brainard,11
241,8993,Gene Dodaro,11
242,21448,R. Gil Kerlikowske,11
243,9326,Glenn A. Fine,11
244,20679,Paul M. Nakasone,11
245,10355,J. Michael Gilmore,11
246,5244,Daniel L. Cooper,11
247,10526,Jacob J. Lew,11
248,10775,James F. Geurts,11
249,11819,Jeh C. Johnson,11
250,4039,Chris Edwards,11
251,22884,Robert Goldenkoff,11
253,16794,M.S.,11
254,25795,Susan Fleming,11
255,5255,Daniel M. Ashe,11
256,7840,Elizabeth Warren,11
257,26536,Thomas M. Countryman,11
258,7481,Edith Ramirez,11
260,25351,Steve Ellis,11
261,22265,Richard J. Durbin,11
262,23743,Rose Gottemoeller,10
263,13717,Jonathan Turley,10
264,20540,Paul C. Light,10
265,10318,J. Christopher Mihm,10
266,4031,Chris Coons,10
267,3227,Carl Levin,10
268,27189,Tommy Thompson,10
269,9053,George Allen,10
270,17200,Marion Blakey,10
271,18527,Michael F. Bennet,10
272,22439,Richard V. Spencer,10
273,23094,Robert Menendez,10
274,9054,George Apostolakis,10
275,20729,Paul Rosenzweig,10
276,10622,James B. Comey,10
277,9201,Gerald Dillingham,10
278,15520,Kristine Svinicki,10
279,12167,Jim Bunning,10
280,15250,Kevin K. Mcaleenan,10
281,16900,Man Lisa Murkowski (R-Alaska),10
282,17680,Martin J. Gruenberg,10
283,4381,Chuck Canterbury,10
284,27167,Tom Udall,10
285,27142,Tom Ridge,10
287,13890,Joseph Lieberman,10
288,27899,Wendy Sherman,10
289,24832,Shirley Bloomfield,10
290,8268,Evan Bayh,10
291,26651,Thomas Tidwell,10
292,10764,James F. Amos,10
294,7675,Elaine Chao,10
295,22533,Rick Weidman,10
296,17408,Mark Kirk,10
297,10378,J. Robert Hunter,10
298,12072,Jess T. Ford,10
299,12842,John E. Hytenf,10
300,16350,Linda Thomas-Greenfield,10
302,13103,John Lewis,9
305,22888,Robert Greenstein,9
306,4985,Damon Wilson,9
307,26319,Thom Tillis,9
309,6410,Deborah Platt Majoras,9
310,24920,Sonny Perdue,9
311,18919,Michael S. Black,9
312,3408,Carolyn Clancy,9
313,25123,Stephen E. Flynn,9
314,19335,Mitch Bainwol,9
315,22966,Robert Johansson,9
316,3051,Byron Dorgan,9
317,23203,Robert S. Mueller Iii,9
318,14284,Julie L. Gerberding,9
320,6932,Donald E. Powell,9
321,21985,Ret.,9
322,19253,Mike Pompeo,9
323,9865,Heather Boushey,9
324,9861,Heather A. Wilson,9
325,6689,Diana Furchtgott-Roth,9
326,28198,William J. Burns,9
327,3271,Carlos Fuentes,9
328,12938,John Gage,9
329,25928,Suzanne E. Spaulding,9
330,26220,Tex Hall,9
